Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1156.0596	7.6004965	-1148.4591	2409.211	1.2019385	-1140.0281	5606.8105
1000	163.63859	-1152.5879	4.1457819	-1148.4421	2409.2119	1.2019381	-1147.9877	302.19979
2000	154.46942	-1152.3543	3.9134809	-1148.4408	2409.214	1.201937	-1152.0714	-2414.4487
3000	148.8764	-1152.2121	3.7717819	-1148.4403	2409.2179	1.2019351	-1147.6159	548.22886
4000	165.17421	-1152.6247	4.1846867	-1148.44	2409.2233	1.2019324	-1155.9423	-4989.1809
5000	160.68653	-1152.5109	4.0709914	-1148.4399	2409.2305	1.2019288	-1146.4011	1355.843
6000	159.99404	-1152.4924	4.0534472	-1148.439	2409.2392	1.2019244	-1146.0525	1587.0455
7000	162.86104	-1152.5661	4.1260827	-1148.4401	2409.2496	1.2019192	-1138.001	6942.0692
8000	163.28281	-1152.5771	4.1367682	-1148.4403	2409.262	1.2019131	-1151.6755	-2151.4312
9000	151.88811	-1152.2856	3.8480834	-1148.4375	2409.2761	1.201906	-1142.1948	4151.4075
10000	158.56222	-1152.4561	4.0171719	-1148.4389	2409.2921	1.201898	-1137.7547	7104.9838
11000	171.54326	-1152.7823	4.3460464	-1148.4362	2409.3102	1.2018891	-1142.8254	3731.1309
12000	160.29092	-1152.496	4.0609686	-1148.4351	2409.3301	1.2018791	-1146.5084	1281.188
13000	152.50467	-1152.296	3.863704	-1148.4323	2409.3518	1.2018683	-1145.6303	1863.2526
14000	151.66353	-1152.2759	3.8423937	-1148.4335	2409.3752	1.2018566	-1137.0224	7588.1029
15000	157.65141	-1152.4238	3.9940967	-1148.4297	2409.4003	1.2018441	-1139.3437	6041.8946
16000	150.95488	-1152.253	3.82444	-1148.4286	2409.4273	1.2018306	-1152.4246	-2657.2141
17000	159.4962	-1152.469	4.0408343	-1148.4281	2409.4563	1.2018161	-1145.3543	2043.9695
18000	158.68192	-1152.4471	4.0202045	-1148.4269	2409.4874	1.2018006	-1139.5962	5871.9467
19000	161.35591	-1152.5128	4.0879501	-1148.4249	2409.5208	1.201784	-1144.6668	2498.8886
20000	159.47512	-1152.4618	4.0403003	-1148.4215	2409.556	1.2017664	-1144.9855	2284.6541
21000	174.24442	-1152.8375	4.4144804	-1148.4231	2409.5929	1.201748	-1136.2928	8065.572
22000	160.52198	-1152.4851	4.0668226	-1148.4183	2409.6317	1.2017286	-1137.5073	7254.7345
23000	166.57219	-1152.637	4.2201045	-1148.4169	2409.6725	1.2017083	-1136.6357	7833.2569
24000	162.7435	-1152.5367	4.1231048	-1148.4136	2409.7151	1.2016871	-1150.0333	-1076.9005
25000	157.48328	-1152.4034	3.989837	-1148.4136	2409.7594	1.201665	-1143.7493	3101.1534
26000	160.37395	-1152.4722	4.0630721	-1148.4092	2409.8053	1.2016421	-1148.5212	-74.486419
27000	175.61291	-1152.8575	4.449151	-1148.4083	2409.8531	1.2016183	-1139.3335	6033.3476
28000	158.74237	-1152.428	4.0217361	-1148.4063	2409.9027	1.2015936	-1142.2244	4109.937
29000	166.2448	-1152.6157	4.21181	-1148.4039	2409.9541	1.2015679	-1146.5935	1203.5861
30000	166.08873	-1152.6083	4.207856	-1148.4005	2410.0075	1.2015413	-1146.6571	1158.9778
31000	171.31743	-1152.7389	4.3403251	-1148.3985	2410.0627	1.2015138	-1142.0308	4233.1591
32000	156.28675	-1152.3519	3.9595229	-1148.3923	2410.1197	1.2014853	-1153.2965	-3260.1345
33000	153.1455	-1152.2736	3.8799395	-1148.3936	2410.1787	1.2014559	-1138.6096	6503.9367
34000	170.87163	-1152.7201	4.3290309	-1148.3911	2410.2397	1.2014255	-1149.5831	-792.41903
35000	151.4216	-1152.2196	3.8362645	-1148.3833	2410.3026	1.2013942	-1135.189	8770.5388
36000	159.97571	-1152.4358	4.0529828	-1148.3828	2410.3673	1.2013619	-1140.4581	5267.5534
37000	162.94296	-1152.5067	4.128158	-1148.3785	2410.434	1.2013287	-1133.335	9999.1947
38000	157.2382	-1152.3561	3.983628	-1148.3724	2410.5025	1.2012945	-1141.9338	4279.5271
39000	165.5739	-1152.5674	4.1948129	-1148.3725	2410.5727	1.2012596	-1134.6388	9128.0913
40000	150.66139	-1152.1838	3.8170046	-1148.3668	2410.6446	1.2012237	-1147.9645	267.33991
41000	163.23089	-1152.4985	4.1354528	-1148.3631	2410.7186	1.2011868	-1142.1635	4120.2868
42000	161.6647	-1152.4568	4.0957733	-1148.361	2410.7944	1.2011491	-1144.2178	2753.5416
43000	168.49736	-1152.6281	4.2688787	-1148.3592	2410.8719	1.2011105	-1141.2556	4720.8116
44000	169.40217	-1152.644	4.2918019	-1148.3522	2410.9515	1.2010708	-1146.3798	1310.7599
45000	173.01463	-1152.7323	4.3833238	-1148.3489	2411.0329	1.2010303	-1150.8074	-1633.7202
46000	167.42724	-1152.5847	4.2417671	-1148.3429	2411.1161	1.2009888	-1140.781	5024.8397
