Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1153.6527	7.6004965	-1146.0522	2409.211	1.2019385	-1133.743	8185.9367
1000	147.67372	-1149.7757	3.7413119	-1146.0344	2409.2124	1.2019378	-1139.2252	4528.2587
2000	151.77558	-1149.8814	3.8452326	-1146.0361	2409.2163	1.2019359	-1135.8506	6773.5614
3000	159.79241	-1150.085	4.0483389	-1146.0366	2409.2226	1.2019327	-1143.1486	1920.5959
4000	158.46659	-1150.0509	4.0147493	-1146.0362	2409.2316	1.2019282	-1137.9847	5354.3313
5000	151.95221	-1149.8833	3.8497076	-1146.0336	2409.2433	1.2019224	-1134.0341	7979.8134
6000	163.25023	-1150.1692	4.1359428	-1146.0332	2409.2581	1.201915	-1134.5579	7631.1729
7000	157.40076	-1150.0226	3.9877465	-1146.0349	2409.2759	1.2019062	-1134.2687	7824.5353
8000	171.05441	-1150.3676	4.3336616	-1146.0339	2409.2966	1.2018958	-1142.5818	2295.6819
9000	166.87657	-1150.2609	4.227816	-1146.0331	2409.3202	1.201884	-1133.7964	8137.2603
10000	165.49422	-1150.2258	4.1927942	-1146.033	2409.3467	1.2018708	-1140.6289	3593.646
11000	183.19745	-1150.6733	4.6413053	-1146.032	2409.3758	1.2018563	-1139.6806	4223.5693
12000	174.29783	-1150.4475	4.4158335	-1146.0317	2409.4077	1.2018404	-1137.9486	5374.9767
13000	177.32354	-1150.5209	4.4924898	-1146.0284	2409.4428	1.2018229	-1131.3101	9787.0633
14000	173.65502	-1150.4243	4.3995479	-1146.0247	2409.4806	1.201804	-1143.281	1824.417
15000	176.40464	-1150.495	4.4692096	-1146.0258	2409.5209	1.2017839	-1142.5239	2328.589
16000	179.43896	-1150.5702	4.5460839	-1146.0241	2409.5638	1.2017625	-1137.4466	5703.4134
17000	180.70103	-1150.5995	4.5780586	-1146.0214	2409.6095	1.2017397	-1140.847	3440.5201
18000	183.52528	-1150.6705	4.6496108	-1146.0209	2409.658	1.2017155	-1136.3051	6459.9821
19000	177.04806	-1150.5045	4.4855107	-1146.019	2409.7093	1.2016899	-1131.1683	9873.9865
20000	174.26115	-1150.4308	4.4149041	-1146.0159	2409.7635	1.201663	-1135.9073	6720.8938
21000	185.08431	-1150.7041	4.6891089	-1146.015	2409.8205	1.2016345	-1139.5604	4291.383
22000	172.32377	-1150.3781	4.3658207	-1146.0123	2409.8804	1.2016047	-1146.206	-128.78373
23000	178.5665	-1150.537	4.5239802	-1146.0131	2409.9429	1.2015735	-1132.9506	8684.1885
24000	176.63499	-1150.4844	4.4750455	-1146.0093	2410.0081	1.201541	-1133.5767	8265.2408
25000	185.58965	-1150.7089	4.7019115	-1146.007	2410.0759	1.2015072	-1136.4328	6364.7274
26000	181.36847	-1150.5992	4.5949682	-1146.0042	2410.1462	1.2014721	-1132.4849	8987.1182
27000	196.39475	-1150.9786	4.9756587	-1146.0029	2410.2191	1.2014358	-1135.0285	7295.1574
28000	199.98028	-1151.0692	5.0664981	-1146.0027	2410.2947	1.2013981	-1137.3655	5741.3337
29000	183.84325	-1150.6555	4.6576667	-1145.9978	2410.3727	1.2013592	-1141.4275	3037.9222
30000	189.06205	-1150.7849	4.7898847	-1145.9951	2410.4533	1.2013191	-1134.3635	7731.26
31000	175.33513	-1150.433	4.4421135	-1145.9909	2410.5363	1.2012777	-1136.0198	6627.325
32000	188.04425	-1150.7533	4.7640989	-1145.9892	2410.622	1.201235	-1135.0717	7256.1116
33000	189.84226	-1150.7954	4.8096514	-1145.9858	2410.7103	1.201191	-1132.4774	8977.7636
34000	188.29794	-1150.7548	4.7705261	-1145.9843	2410.8012	1.2011457	-1131.3076	9753.8471
35000	187.50117	-1150.7312	4.75034	-1145.9808	2410.895	1.201099	-1138.3576	5066.0673
36000	173.04746	-1150.3588	4.3841555	-1145.9746	2410.9911	1.2010511	-1143.1181	1898.2797
37000	184.46423	-1150.6459	4.6733992	-1145.9725	2411.0894	1.2010021	-1142.0651	2596.4635
38000	199.55538	-1151.0244	5.0557332	-1145.9687	2411.1899	1.2009521	-1127.2467	12440.302
39000	196.52258	-1150.9471	4.9788973	-1145.9682	2411.2922	1.2009011	-1150.8418	-3238.2502
40000	196.02041	-1150.9281	4.9661748	-1145.962	2411.3963	1.2008493	-1140.6567	3524.8817
41000	188.04579	-1150.7239	4.7641379	-1145.9597	2411.5022	1.2007966	-1147.662	-1130.944
42000	192.40731	-1150.8281	4.8746371	-1145.9534	2411.6101	1.2007428	-1146.2472	-195.18078
43000	184.81141	-1150.6322	4.6821951	-1145.95	2411.7196	1.2006883	-1136.0606	6569.8209
44000	193.35973	-1150.8444	4.8987665	-1145.9457	2411.8307	1.200633	-1139.0676	4569.0905
45000	181.89992	-1150.5488	4.6084323	-1145.9404	2411.9438	1.2005767	-1147.7168	-1180.0132
46000	189.87024	-1150.7486	4.8103602	-1145.9382	2412.0586	1.2005196	-1141.221	3133.3926
47000	202.61947	-1151.0683	5.1333619	-1145.9349	2412.1753	1.2004615	-1128.0634	11870.337
48000	177.19729	-1150.4171	4.4892913	-1145.9278	2412.294	1.2004024	-1137.6382	5505.7023
49000	184.73078	-1150.6059	4.6801522	-1145.9257	2412.4147	1.2003423	-1140.1047	3865.9325
50000	199.30649	-1150.9694	5.0494276	-1145.92	2412.5374	1.2002813	-1134.5181	7572.0379
51000	188.21874	-1150.6844	4.7685195	-1145.9159	2412.6624	1.2002191	-1142.452	2300.2928
52000	193.11607	-1150.8047	4.8925935	-1145.9121	2412.7894	1.2001559	-1146.2379	-216.34888
53000	195.88074	-1150.8702	4.9626363	-1145.9075	2412.9182	1.2000919	-1145.9264	-12.500426
54000	183.34803	-1150.5454	4.6451203	-1145.9003	2413.0488	1.2000269	-1139.7428	4088.3574
55000	212.69632	-1151.2873	5.3886588	-1145.8986	2413.1816	1.1999609	-1143.9104	1320.0173
56000	187.32231	-1150.6363	4.7458085	-1145.8905	2413.3164	1.1998938	-1140.4638	3602.7131
57000	187.8722	-1150.6453	4.7597401	-1145.8855	2413.4531	1.1998259	-1143.6791	1464.7696
58000	207.57086	-1151.1422	5.2588054	-1145.8834	2413.5913	1.1997572	-1131.9711	9235.2339
59000	196.20725	-1150.8458	4.9709084	-1145.8749	2413.7315	1.1996875	-1156.2972	-6918.071
60000	192.80845	-1150.7556	4.8847999	-1145.8708	2413.8735	1.1996169	-1140.3176	3685.8167
61000	209.04545	-1151.1651	5.296164	-1145.8689	2414.017	1.1995456	-1137.9119	5281.0657
62000	193.39876	-1150.7603	4.8997554	-1145.8605	2414.1624	1.1994734	-1136.634	6123.2651
63000	191.41977	-1150.7027	4.8496177	-1145.8531	2414.3098	1.1994001	-1145.3206	353.38676
64000	194.8404	-1150.7854	4.9362792	-1145.8492	2414.4594	1.1993258	-1141.8589	2647.8136
65000	196.74338	-1150.8263	4.9844913	-1145.8418	2414.6105	1.1992507	-1147.7983	-1298.2068
66000	196.08835	-1150.8083	4.9678961	-1145.8404	2414.7632	1.1991749	-1141.0356	3187.8984
67000	202.12951	-1150.9522	5.1209489	-1145.8313	2414.9181	1.199098	-1140.3169	3658.5265
68000	203.02429	-1150.9687	5.143618	-1145.8251	2415.0747	1.1990203	-1141.0286	3182.0104
69000	196.45926	-1150.7963	4.9772932	-1145.819	2415.233	1.1989417	-1139.7574	4021.1057
70000	191.09286	-1150.6533	4.8413354	-1145.8119	2415.3936	1.198862	-1141.6379	2768.7528
71000	208.30936	-1151.0832	5.2775151	-1145.8056	2415.5561	1.1987813	-1141.6894	2730.1757
72000	221.48372	-1151.4126	5.6112875	-1145.8013	2415.7204	1.1986998	-1129.9203	10532.77
73000	205.388	-1150.9986	5.2035026	-1145.7951	2415.8865	1.1986174	-1140.8896	3253.273
74000	193.66068	-1150.6961	4.9063912	-1145.7897	2416.0546	1.198534	-1132.1712	9030.9845
75000	213.46033	-1151.1921	5.4080151	-1145.7841	2416.2247	1.1984496	-1133.976	7829.833
76000	187.91804	-1150.5378	4.7609014	-1145.7769	2416.3966	1.1983643	-1137.3199	5607.3591
77000	198.77691	-1150.8047	5.0360108	-1145.7687	2416.5705	1.1982781	-1135.4272	6856.3307
78000	214.53039	-1151.2018	5.435125	-1145.7667	2416.7468	1.1981907	-1139.6918	4027.3237
79000	215.59458	-1151.22	5.4620861	-1145.7579	2416.9251	1.1981023	-1143.9743	1182.3198
80000	206.02585	-1150.9695	5.2196625	-1145.7498	2417.1054	1.1980129	-1135.6697	6681.5958
81000	205.88544	-1150.9602	5.2161052	-1145.7441	2417.2874	1.1979227	-1142.456	2179.3453
82000	208.42896	-1151.0192	5.2805453	-1145.7387	2417.4713	1.1978316	-1138.0367	5104.5055
83000	199.74366	-1150.7936	5.0605034	-1145.7331	2417.6572	1.1977395	-1137.1093	5714.9767
84000	203.40128	-1150.8771	5.1531691	-1145.7239	2417.845	1.1976464	-1134.7405	7278.1315
85000	216.84261	-1151.2123	5.493705	-1145.7186	2418.0351	1.1975523	-1150.0302	-2856.8554
86000	207.02886	-1150.9559	5.2450738	-1145.7108	2418.2268	1.1974574	-1139.2031	4311.6342
87000	193.16946	-1150.596	4.893946	-1145.702	2418.4201	1.1973617	-1144.9342	508.69751
88000	194.84622	-1150.6322	4.9364268	-1145.6958	2418.6151	1.1972651	-1143.3517	1552.8489
89000	191.89063	-1150.5505	4.8615468	-1145.689	2418.8122	1.1971676	-1137.3068	5552.1853
90000	203.23665	-1150.8313	5.1489982	-1145.6823	2419.0108	1.1970693	-1142.4348	2150.9477
91000	204.81082	-1150.8665	5.1888799	-1145.6776	2419.2111	1.1969702	-1131.1587	9615.477
92000	201.8009	-1150.784	5.1126235	-1145.6713	2419.4133	1.1968701	-1142.4044	2163.4443
93000	203.49668	-1150.8231	5.1555859	-1145.6675	2419.6171	1.1967693	-1143.3105	1560.7423
94000	189.66303	-1150.4589	4.8051106	-1145.6538	2419.8229	1.1966675	-1142.7669	1911.3969
95000	200.80153	-1150.7343	5.0873044	-1145.647	2420.0304	1.1965649	-1136.8345	5834.2553
96000	211.94723	-1151.0119	5.3696806	-1145.6422	2420.2398	1.1964614	-1145.2421	264.86306
97000	210.59716	-1150.974	5.3354766	-1145.6385	2420.4508	1.1963571	-1141.2505	2904.6
98000	216.03836	-1151.1024	5.4733294	-1145.6291	2420.6637	1.1962519	-1145.2255	267.09058
99000	213.26327	-1151.0258	5.4030225	-1145.6228	2420.8782	1.1961459	-1137.789	5184.5525
100000	201.03964	-1150.7057	5.0933369	-1145.6124	2421.0945	1.196039	-1147.4796	-1235.6457
101000	202.94282	-1150.7512	5.1415541	-1145.6097	2421.3125	1.1959313	-1144.6615	627.44973
102000	209.81584	-1150.9179	5.3156819	-1145.6022	2421.5322	1.1958228	-1141.361	2806.1653
103000	199.18338	-1150.6402	5.0463087	-1145.5939	2421.7535	1.1957136	-1148.0118	-1599.615
104000	209.61263	-1150.8977	5.3105335	-1145.5871	2421.9763	1.1956036	-1137.732	5196.2591
105000	217.94255	-1151.1018	5.521572	-1145.5802	2422.2011	1.1954926	-1137.464	5368.5266
106000	203.24202	-1150.722	5.1491342	-1145.5729	2422.4276	1.1953808	-1147.3573	-1180.1743
107000	196.96319	-1150.5558	4.9900602	-1145.5658	2422.6557	1.1952683	-1138.8468	4443.4695
108000	204.90754	-1150.7517	5.19133	-1145.5603	2422.8857	1.1951548	-1138.7381	4511.3307
109000	209.15309	-1150.8528	5.2988911	-1145.5539	2423.1171	1.1950407	-1147.4808	-1274.0973
110000	206.76073	-1150.7838	5.2382807	-1145.5455	2423.3501	1.1949258	-1141.068	2960.2913
111000	206.1233	-1150.7633	5.2221315	-1145.5412	2423.5847	1.1948101	-1147.9573	-1597.2132
112000	202.66762	-1150.6687	5.1345819	-1145.5341	2423.8207	1.1946938	-1132.862	8376.4563
113000	208.37938	-1150.8052	5.2792891	-1145.5259	2424.0583	1.1945767	-1149.8945	-2887.3792
114000	221.9881	-1151.143	5.6240659	-1145.5189	2424.2975	1.1944588	-1138.4025	4703.1648
115000	210.78225	-1150.8536	5.340166	-1145.5134	2424.5382	1.1943402	-1138.8827	4381.6657
116000	206.58515	-1150.7414	5.2338323	-1145.5076	2424.7805	1.1942209	-1148.0622	-1688.0047
117000	219.72048	-1151.0669	5.5666157	-1145.5003	2425.0245	1.1941007	-1134.5285	7248.8787
118000	198.85286	-1150.5309	5.0379349	-1145.493	2425.2706	1.1939795	-1143.8287	1099.4531
119000	205.71251	-1150.6993	5.2117241	-1145.4875	2425.5186	1.1938575	-1134.6738	7143.0538
120000	223.68592	-1151.1469	5.6670801	-1145.4798	2425.7685	1.1937345	-1143.8387	1083.9246
121000	206.92488	-1150.7157	5.2424394	-1145.4732	2426.0201	1.1936107	-1137.9982	4936.6345
122000	209.66442	-1150.7815	5.3118456	-1145.4697	2426.2738	1.1934859	-1145.379	59.874714
123000	209.57754	-1150.7714	5.3096445	-1145.4618	2426.5295	1.1933601	-1136.1437	6152.5046
124000	205.42939	-1150.6648	5.2045513	-1145.4603	2426.7873	1.1932333	-1143.4608	1320.0973
125000	216.12832	-1150.927	5.4756084	-1145.4514	2427.0471	1.1931056	-1140.7538	3101.0195
126000	193.26611	-1150.3391	4.8963946	-1145.4427	2427.3091	1.1929768	-1139.0594	4213.4328
127000	208.88498	-1150.7309	5.2920984	-1145.4388	2427.5732	1.192847	-1141.2469	2766.6185
128000	206.59081	-1150.6639	5.2339757	-1145.4299	2427.8391	1.1927164	-1145.4166	8.7810443
129000	197.65493	-1150.4326	5.0075854	-1145.425	2428.1064	1.1925851	-1141.2545	2751.8819
130000	192.64341	-1150.2994	4.8806185	-1145.4188	2428.3755	1.192453	-1137.0531	5519.4494
131000	221.31467	-1151.0191	5.6070047	-1145.4121	2428.6462	1.19232	-1138.8141	4352.7314
132000	232.69453	-1151.3051	5.8953132	-1145.4098	2428.9188	1.1921862	-1130.0335	10142.571
133000	205.89944	-1150.6169	5.2164599	-1145.4005	2429.1935	1.1920514	-1146.5104	-732.03291
134000	194.22492	-1150.3126	4.9206862	-1145.3919	2429.4703	1.1919156	-1137.699	5073.2519
135000	199.58275	-1150.4452	5.0564267	-1145.3888	2429.749	1.1917788	-1139.7292	3731.9323
136000	198.83212	-1150.422	5.0374095	-1145.3846	2430.0298	1.1916411	-1140.9938	2894.944
137000	213.39265	-1150.7864	5.4063004	-1145.3801	2430.3126	1.1915025	-1134.6065	7102.447
138000	210.57698	-1150.7085	5.3349654	-1145.3735	2430.5972	1.191363	-1143.6633	1127.33
139000	223.81547	-1151.0388	5.6703624	-1145.3684	2430.8838	1.1912225	-1135.9864	6183.6164
140000	216.76211	-1150.8546	5.4916655	-1145.3629	2431.1722	1.1910812	-1130.3729	9878.6389
141000	211.03259	-1150.703	5.3465083	-1145.3565	2431.4627	1.1909389	-1134.864	6913.9081
142000	196.0218	-1150.3168	4.9662101	-1145.3506	2431.7553	1.1907956	-1136.9224	5552.9589
143000	217.1476	-1150.8454	5.5014318	-1145.344	2432.0504	1.1906511	-1138.2923	4645.4352
144000	216.00041	-1150.8123	5.4723678	-1145.3399	2432.3478	1.1905055	-1137.3242	5279.8817
145000	223.80709	-1151.0056	5.67015	-1145.3354	2432.6475	1.1903589	-1135.4024	6542.0533
146000	219.9975	-1150.9033	5.573634	-1145.3297	2432.9494	1.1902111	-1140.5082	3175.1029
147000	209.06524	-1150.6194	5.2966654	-1145.3228	2433.2534	1.1900625	-1134.3843	7202.4197
148000	206.79005	-1150.5553	5.2390235	-1145.3162	2433.5598	1.1899126	-1133.6792	7661.4342
149000	223.35342	-1150.9717	5.6586564	-1145.313	2433.8686	1.1897616	-1134.7278	6968.058
150000	219.30769	-1150.863	5.5561577	-1145.3068	2434.1794	1.1896097	-1133.6438	7676.5687
151000	192.62738	-1150.1788	4.8802123	-1145.2985	2434.4921	1.1894569	-1141.4523	2531.2543
152000	199.97427	-1150.3636	5.0663457	-1145.2973	2434.8067	1.1893032	-1146.879	-1040.8255
153000	211.41703	-1150.6433	5.3562481	-1145.287	2435.1237	1.1891484	-1138.911	4195.0823
154000	218.37705	-1150.8221	5.5325801	-1145.2895	2435.4427	1.1889926	-1141.8643	2253.2762
155000	215.37555	-1150.737	5.456537	-1145.2804	2435.7636	1.188836	-1140.097	3409.5066
156000	217.96847	-1150.8014	5.5222287	-1145.2792	2436.0865	1.1886785	-1131.8073	8860.2187
157000	222.39613	-1150.9038	5.6344033	-1145.2694	2436.4113	1.18852	-1146.3939	-739.45572
158000	215.63493	-1150.7297	5.4631085	-1145.2666	2436.7384	1.1883604	-1143.472	1179.966
159000	218.73864	-1150.802	5.5417409	-1145.2602	2437.0679	1.1881997	-1140.4228	3180.2052
160000	216.19521	-1150.7318	5.4773031	-1145.2545	2437.3998	1.188038	-1132.242	8553.5483
161000	222.03224	-1150.8728	5.6251842	-1145.2476	2437.7338	1.1878752	-1134.1003	7326.4814
162000	224.26413	-1150.9292	5.6817292	-1145.2475	2438.0697	1.1877115	-1148.5443	-2166.4864
163000	228.85704	-1151.0369	5.7980904	-1145.2388	2438.4076	1.1875469	-1132.4447	8406.4711
164000	228.97826	-1151.0346	5.8011615	-1145.2334	2438.7475	1.1873814	-1142.551	1762.2722
165000	237.43262	-1151.248	6.0153527	-1145.2327	2439.0892	1.1872151	-1139.4532	3796.3738
166000	230.17374	-1151.0566	5.831449	-1145.2251	2439.4326	1.187048	-1129.7018	10195.439
167000	230.82383	-1151.0678	5.847919	-1145.2199	2439.7779	1.1868799	-1142.4251	1835.3119
168000	213.82581	-1150.6326	5.4172744	-1145.2153	2440.1253	1.186711	-1141.0256	2750.9563
169000	217.71346	-1150.7281	5.5157681	-1145.2123	2440.4746	1.1865412	-1138.0028	4733.0491
170000	228.65286	-1151.0003	5.7929176	-1145.2074	2440.8256	1.1863705	-1144.7006	332.68722
171000	216.42983	-1150.6816	5.4832472	-1145.1984	2441.1785	1.186199	-1135.3916	6436.2992
172000	222.04793	-1150.8237	5.6255818	-1145.1981	2441.5335	1.1860265	-1141.1514	2655.5576
173000	217.74002	-1150.7062	5.5164409	-1145.1897	2441.8903	1.1858532	-1140.8757	2830.546
174000	210.37139	-1150.5172	5.3297568	-1145.1874	2442.2489	1.1856791	-1135.4225	6406.0567
175000	234.34471	-1151.1209	5.9371206	-1145.1838	2442.6094	1.1855041	-1142.4989	1761.0816
176000	235.74607	-1151.1496	5.9726239	-1145.177	2442.9718	1.1853283	-1140.0453	3365.4688
177000	230.68396	-1151.0194	5.8443755	-1145.175	2443.3361	1.1851515	-1133.6339	7567.8681
178000	208.65718	-1150.4552	5.2863273	-1145.1689	2443.7024	1.1849739	-1146.2101	-682.69634
179000	218.03433	-1150.6849	5.5238973	-1145.161	2444.0708	1.1847953	-1147.4188	-1480.0283
180000	212.33392	-1150.5361	5.3794775	-1145.1566	2444.4413	1.1846157	-1140.1254	3297.6859
181000	216.97941	-1150.6507	5.4971708	-1145.1535	2444.8136	1.1844353	-1144.9682	121.47564
182000	230.65119	-1150.9908	5.8435453	-1145.1472	2445.1879	1.184254	-1138.2306	4532.0242
183000	228.98248	-1150.9431	5.8012684	-1145.1418	2445.5641	1.1840718	-1135.7163	6174.96
184000	221.01062	-1150.7398	5.5993015	-1145.1405	2445.9423	1.1838887	-1144.2964	552.92382
185000	225.15187	-1150.8368	5.7042201	-1145.1326	2446.322	1.183705	-1143.4033	1132.5495
186000	225.80843	-1150.8473	5.7208539	-1145.1265	2446.7034	1.1835205	-1141.1273	2618.8098
187000	233.85147	-1151.0496	5.9246243	-1145.1249	2447.0865	1.1833351	-1133.9235	7333.8675
188000	243.70063	-1151.2974	6.1741527	-1145.1233	2447.4716	1.1831489	-1139.6798	3563.4127
189000	209.58656	-1150.4228	5.3098732	-1145.1129	2447.8586	1.1829619	-1152.3709	-4750.5473
190000	224.15652	-1150.7904	5.6790029	-1145.1114	2448.2475	1.182774	-1131.524	8891.8259
191000	221.03651	-1150.7055	5.5999573	-1145.1056	2448.6384	1.1825852	-1143.2746	1198.0683
192000	227.7332	-1150.8687	5.7696181	-1145.0991	2449.0312	1.1823955	-1143.3495	1144.5865
193000	222.92244	-1150.7414	5.6477375	-1145.0936	2449.4258	1.182205	-1135.5018	6274.0518
194000	216.35993	-1150.5705	5.4814763	-1145.0891	2449.8225	1.1820136	-1136.4039	5680.0791
195000	208.17853	-1150.3569	5.2742007	-1145.0827	2450.2213	1.1818212	-1147.9025	-1843.8119
196000	221.93944	-1150.7029	5.6228332	-1145.08	2450.6218	1.1816281	-1135.7823	6078.7305
197000	223.76337	-1150.7451	5.6690423	-1145.0761	2451.0242	1.1814341	-1139.0162	3961.2087
