Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1155.89	7.6004965	-1148.2895	2409.211	1.2019385	-1140.2083	5374.2073
1000	147.11892	-1151.9974	3.7272562	-1148.2701	2409.2119	1.2019381	-1139.9951	5503.0606
2000	157.53732	-1152.2613	3.9912062	-1148.2701	2409.2146	1.2019367	-1138.8666	6253.5142
3000	167.94221	-1152.5246	4.2548139	-1148.2698	2409.2197	1.2019342	-1143.6675	3060.573
4000	162.79473	-1152.3959	4.1244025	-1148.2715	2409.2271	1.2019305	-1134.7817	8970.9702
5000	154.34783	-1152.1802	3.9104005	-1148.2698	2409.2367	1.2019257	-1134.5369	9132.6131
6000	167.0707	-1152.5048	4.2327343	-1148.272	2409.249	1.2019196	-1141.5703	4456.7077
7000	150.71175	-1152.0855	3.8182803	-1148.2672	2409.2633	1.2019124	-1149.3236	-702.51105
8000	181.49735	-1152.8699	4.5982333	-1148.2716	2409.2795	1.2019043	-1133.9483	9525.0488
9000	178.46571	-1152.7902	4.5214266	-1148.2688	2409.2979	1.2018951	-1143.7609	2997.7672
10000	165.9528	-1152.4716	4.2044122	-1148.2672	2409.3188	1.2018847	-1145.8533	1605.2299
11000	167.43606	-1152.5113	4.2419907	-1148.2693	2409.3421	1.2018731	-1148.8854	-409.72929
12000	167.42436	-1152.5082	4.2416941	-1148.2665	2409.3676	1.2018604	-1143.2495	3336.1661
13000	165.51918	-1152.4595	4.1934266	-1148.2661	2409.3951	1.2018467	-1148.6582	-260.78531
14000	159.84552	-1152.3118	4.0496844	-1148.2622	2409.4249	1.2018318	-1137.7449	6993.5816
15000	172.60919	-1152.6368	4.3730519	-1148.2638	2409.4571	1.2018158	-1142.1772	4047.2831
16000	167.25817	-1152.4991	4.2374839	-1148.2616	2409.4919	1.2017984	-1144.5102	2494.4947
17000	169.56226	-1152.5531	4.2958578	-1148.2572	2409.5296	1.2017796	-1146.1142	1424.981
18000	167.52973	-1152.5021	4.2443637	-1148.2577	2409.5696	1.2017596	-1148.5971	-225.67752
19000	167.59222	-1152.4999	4.245947	-1148.2539	2409.6122	1.2017384	-1135.4922	8485.3962
20000	170.03628	-1152.5626	4.3078672	-1148.2547	2409.6577	1.2017157	-1140.3313	5268.2811
21000	163.57342	-1152.3964	4.1441308	-1148.2522	2409.7059	1.2016917	-1140.794	4958.8879
22000	162.25895	-1152.3613	4.1108287	-1148.2504	2409.7566	1.2016664	-1145.8303	1609.0859
23000	161.92511	-1152.3485	4.1023707	-1148.2461	2409.8096	1.20164	-1138.5815	6425.6096
24000	185.45731	-1152.946	4.6985588	-1148.2475	2409.865	1.2016123	-1142.6149	3744.7255
25000	173.01244	-1152.6297	4.3832682	-1148.2464	2409.923	1.2015834	-1144.8934	2229.1427
26000	166.96583	-1152.4712	4.2300773	-1148.2411	2409.9833	1.2015533	-1134.0632	9425.5681
27000	167.81438	-1152.4914	4.2515754	-1148.2399	2410.046	1.2015221	-1149.9214	-1117.8851
28000	183.22991	-1152.8818	4.6421277	-1148.2397	2410.111	1.2014897	-1144.5256	2469.0371
29000	163.99911	-1152.3871	4.1549154	-1148.2321	2410.1782	1.2014562	-1137.9758	6817.9604
30000	179.75735	-1152.7863	4.5541503	-1148.2321	2410.2478	1.2014215	-1137.6065	7063.2431
31000	173.52902	-1152.6261	4.3963556	-1148.2297	2410.3199	1.2013856	-1142.4481	3843.1085
32000	169.17157	-1152.5121	4.2859598	-1148.2262	2410.3946	1.2013483	-1138.6064	6394.2436
33000	165.49193	-1152.4142	4.1927361	-1148.2215	2410.4722	1.2013096	-1139.5826	5742.0185
34000	190.62104	-1153.05	4.8293818	-1148.2206	2410.5524	1.2012697	-1145.6498	1708.7407
35000	165.45491	-1152.4083	4.1917983	-1148.2165	2410.6347	1.2012287	-1134.6797	8996.975
36000	166.70935	-1152.4387	4.2235794	-1148.2151	2410.7194	1.2011864	-1144.3159	2591.4131
37000	167.34685	-1152.4491	4.2397306	-1148.2094	2410.8066	1.201143	-1134.0528	9408.1472
38000	169.69099	-1152.5076	4.2991192	-1148.2085	2410.8962	1.2010984	-1140.0492	5422.2886
39000	182.29687	-1152.8223	4.6184891	-1148.2038	2410.9881	1.2010526	-1136.8917	7517.2847
40000	182.97987	-1152.8381	4.6357929	-1148.2023	2411.0824	1.2010056	-1141.0705	4739.092
41000	186.98734	-1152.9351	4.7373222	-1148.1978	2411.1793	1.2009573	-1144.4786	2471.3429
42000	182.10668	-1152.8065	4.6136707	-1148.1928	2411.2785	1.2009079	-1142.2074	3977.0127
43000	173.44766	-1152.5815	4.3942946	-1148.1872	2411.3798	1.2008575	-1144.0262	2764.698
44000	190.64844	-1153.0154	4.830076	-1148.1854	2411.4832	1.200806	-1147.0483	755.45713
45000	167.39134	-1152.4196	4.2408577	-1148.1787	2411.5888	1.2007534	-1142.6452	3676.3029
46000	162.13512	-1152.2834	4.1076914	-1148.1757	2411.6968	1.2006996	-1139.4521	5795.4079
47000	170.92728	-1152.5036	4.3304407	-1148.1731	2411.8069	1.2006448	-1138.3037	6556.3192
48000	181.82576	-1152.7729	4.6065534	-1148.1663	2411.9195	1.2005888	-1137.9524	6784.8653
49000	159.8262	-1152.2133	4.0491948	-1148.1641	2412.0344	1.2005316	-1154.5826	-4263.4243
50000	179.57053	-1152.7097	4.5494173	-1148.1603	2412.1519	1.2004731	-1140.7362	4931.1397
51000	166.72983	-1152.3791	4.2240982	-1148.155	2412.2717	1.2004135	-1139.1009	6013.5777
52000	172.05345	-1152.5114	4.3589721	-1148.1525	2412.3937	1.2003528	-1141.8373	4194.1617
53000	180.71377	-1152.7255	4.5783813	-1148.1471	2412.5179	1.200291	-1135.5069	8394.4722
54000	178.59134	-1152.6661	4.5246094	-1148.1415	2412.6444	1.2002281	-1146.0871	1364.2846
55000	178.4659	-1152.6588	4.5214315	-1148.1373	2412.7734	1.2001639	-1134.324	9172.5652
56000	182.44404	-1152.754	4.6222177	-1148.1318	2412.9048	1.2000985	-1146.7967	886.54048
57000	177.79862	-1152.6315	4.5045259	-1148.1269	2413.0382	1.2000322	-1142.5106	3729.0731
58000	169.20959	-1152.4069	4.286923	-1148.12	2413.1738	1.1999647	-1140.8023	4858.4167
59000	180.83027	-1152.7015	4.5813328	-1148.1202	2413.3117	1.1998962	-1145.257	1900.8611
60000	176.64577	-1152.5861	4.4753186	-1148.1108	2413.4518	1.1998265	-1136.5292	7688.4387
61000	176.04133	-1152.5679	4.4600051	-1148.1079	2413.5942	1.1997557	-1142.465	3745.8432
62000	188.8992	-1152.8872	4.7857591	-1148.1014	2413.7389	1.1996838	-1137.5462	7006.2998
63000	174.5571	-1152.5178	4.422402	-1148.0954	2413.886	1.1996107	-1135.5483	8327.9187
64000	172.66432	-1152.4627	4.3744486	-1148.0882	2414.0352	1.1995365	-1146.6618	946.73178
65000	182.57578	-1152.7107	4.6255552	-1148.0851	2414.1866	1.1994613	-1143.9961	2713.6801
66000	180.00252	-1152.6368	4.5603618	-1148.0764	2414.3401	1.1993851	-1135.2444	8515.4385
67000	172.93316	-1152.4524	4.3812597	-1148.0712	2414.4956	1.1993078	-1139.6921	5560.0405
68000	185.00696	-1152.7565	4.6871493	-1148.0694	2414.6532	1.1992295	-1141.6463	4261.8992
69000	161.89031	-1152.1609	4.1014892	-1148.0594	2414.8131	1.1991501	-1143.6894	2899.4172
70000	180.08336	-1152.6196	4.5624098	-1148.0572	2414.9749	1.1990698	-1149.6923	-1084.7225
71000	167.87458	-1152.3023	4.2531005	-1148.0492	2415.1389	1.1989884	-1144.8374	2130.6673
72000	181.17946	-1152.6342	4.5901795	-1148.044	2415.3055	1.1989057	-1143.4833	3025.2934
73000	190.58853	-1152.8664	4.8285582	-1148.0379	2415.4744	1.1988219	-1147.6441	261.19807
74000	187.30614	-1152.7779	4.7453988	-1148.0325	2415.6448	1.1987373	-1144.9054	2074.0792
75000	177.28081	-1152.5175	4.4914073	-1148.0261	2415.8173	1.1986517	-1135.0756	8588.8273
76000	178.0564	-1152.5303	4.5110567	-1148.0192	2415.9922	1.1985649	-1140.3505	5085.5488
77000	179.77996	-1152.5693	4.5547232	-1148.0145	2416.1693	1.198477	-1145.3207	1786.2808
78000	177.17899	-1152.4956	4.4888275	-1148.0068	2416.3489	1.198388	-1141.3433	4418.2511
