Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1154.6272	7.6004965	-1147.0267	2409.211	1.2019385	-1135.6176	7587.3254
1000	131.92359	-1150.3498	3.3422827	-1147.0075	2409.2124	1.2019378	-1139.0636	5282.8308
2000	157.28043	-1150.9947	3.984698	-1147.01	2409.2166	1.2019357	-1140.5372	4304.5581
3000	153.60718	-1150.9013	3.8916361	-1147.0097	2409.2234	1.2019323	-1145.2402	1176.7338
4000	150.71474	-1150.8302	3.8183563	-1147.0118	2409.2327	1.2019277	-1140.177	4545.2184
5000	146.43453	-1150.7192	3.7099172	-1147.0093	2409.2447	1.2019217	-1140.9323	4041.2448
6000	152.824	-1150.8812	3.8717944	-1147.0094	2409.2592	1.2019145	-1137.2388	6497.527
7000	162.06257	-1151.1153	4.1058533	-1147.0095	2409.2763	1.201906	-1143.2468	2502.1754
8000	171.86047	-1151.3637	4.3540829	-1147.0097	2409.2956	1.2018963	-1143.2682	2488.0862
9000	173.26278	-1151.3972	4.3896105	-1147.0076	2409.3175	1.2018854	-1141.2566	3824.3987
10000	177.27016	-1151.4981	4.4911374	-1147.007	2409.3422	1.2018731	-1146.0493	636.88926
11000	182.46625	-1151.6295	4.6227803	-1147.0067	2409.3694	1.2018595	-1137.0613	6613.4472
12000	173.93082	-1151.4127	4.4065352	-1147.0062	2409.3994	1.2018445	-1142.0175	3317.3132
13000	187.61102	-1151.757	4.753123	-1147.0039	2409.432	1.2018283	-1139.4348	5033.1496
14000	194.71879	-1151.937	4.9331984	-1147.0038	2409.4674	1.2018106	-1148.1678	-773.95464
15000	165.42474	-1151.1924	4.1910337	-1147.0013	2409.5053	1.2017917	-1140.7854	4133.2358
16000	160.01951	-1151.0522	4.0540925	-1146.9981	2409.5462	1.2017713	-1136.827	6763.0615
17000	173.11682	-1151.3839	4.3859126	-1146.998	2409.59	1.2017494	-1141.9122	3381.5871
18000	171.12151	-1151.3322	4.3353615	-1146.9969	2409.6368	1.2017261	-1139.3367	5093.2766
19000	174.17836	-1151.4059	4.4128068	-1146.9931	2409.6864	1.2017014	-1134.2625	8464.4295
20000	175.6062	-1151.4431	4.4489811	-1146.9941	2409.7387	1.2016753	-1142.6797	2868.5253
21000	159.02595	-1151.0218	4.0289205	-1146.9929	2409.7938	1.2016478	-1142.9016	2720.1474
22000	193.32527	-1151.8899	4.8978934	-1146.992	2409.8517	1.2016189	-1136.9765	6658.7357
23000	177.53566	-1151.4859	4.4978639	-1146.988	2409.9125	1.2015887	-1133.471	8986.495
24000	172.4813	-1151.3553	4.3698117	-1146.9855	2409.9761	1.2015569	-1139.7792	4790.815
25000	186.3131	-1151.7055	4.7202403	-1146.9852	2410.043	1.2015236	-1136.0712	7255.5721
26000	176.15941	-1151.4435	4.4629965	-1146.9805	2410.1129	1.2014887	-1142.5852	2921.8992
27000	181.51976	-1151.5766	4.598801	-1146.9778	2410.1856	1.2014525	-1137.1858	6509.2882
28000	171.67683	-1151.3265	4.3494304	-1146.9771	2410.2616	1.2014146	-1130.1772	11167.417
29000	171.55142	-1151.32	4.3462532	-1146.9737	2410.3405	1.2013753	-1128.1394	12519.358
30000	181.21194	-1151.5617	4.5910023	-1146.9707	2410.4224	1.2013345	-1144.2779	1789.8197
31000	176.73571	-1151.444	4.4775971	-1146.9664	2410.5072	1.2012922	-1143.5171	2292.6312
32000	170.75889	-1151.2933	4.3261746	-1146.9671	2410.5951	1.2012484	-1144.1879	1847.1656
33000	191.18298	-1151.8088	4.8436185	-1146.9652	2410.6858	1.2012032	-1145.2447	1143.4525
34000	175.47629	-1151.4058	4.4456898	-1146.9601	2410.7794	1.2011566	-1135.1664	7837.9656
35000	181.93693	-1151.5668	4.6093701	-1146.9574	2410.8758	1.2011085	-1133.1404	9182.225
36000	175.87476	-1151.4132	4.455785	-1146.9574	2410.9753	1.201059	-1137.5486	6252.474
37000	182.69948	-1151.5788	4.6286893	-1146.9501	2411.0777	1.201008	-1138.9313	5328.5806
38000	176.18829	-1151.4118	4.4637282	-1146.948	2411.1831	1.2009555	-1140.5686	4239.0122
39000	183.57728	-1151.5971	4.6509282	-1146.9462	2411.2912	1.2009016	-1139.7699	4768.2354
40000	178.00159	-1151.451	4.5096683	-1146.9413	2411.4024	1.2008462	-1136.273	7088.1893
41000	185.73258	-1151.6429	4.7055329	-1146.9374	2411.5165	1.2007894	-1141.0944	3882.04
42000	159.1547	-1150.9651	4.0321824	-1146.9329	2411.6333	1.2007312	-1145.5265	934.34994
43000	171.89834	-1151.284	4.3550423	-1146.929	2411.753	1.2006717	-1137.3312	6375.9971
44000	192.08767	-1151.7955	4.8665389	-1146.929	2411.8756	1.2006107	-1137.723	6115.3886
45000	185.60821	-1151.6245	4.7023819	-1146.9221	2412.001	1.2005482	-1134.7589	8079.4141
46000	182.64775	-1151.5481	4.6273786	-1146.9207	2412.1292	1.2004844	-1142.88	2683.9549
47000	180.31284	-1151.4817	4.5682238	-1146.9135	2412.2603	1.2004192	-1132.5386	9547.5611
48000	166.03555	-1151.1168	4.2065088	-1146.9103	2412.3942	1.2003526	-1139.0504	5220.0685
49000	195.94009	-1151.8715	4.96414	-1146.9073	2412.5307	1.2002846	-1134.7604	8066.828
50000	186.18034	-1151.6218	4.7168766	-1146.905	2412.6701	1.2002153	-1134.8399	8011.9956
51000	193.86311	-1151.81	4.9115198	-1146.8985	2412.8123	1.2001445	-1139.5075	4907.8016
52000	190.83384	-1151.7297	4.8347732	-1146.895	2412.9571	1.2000725	-1139.7248	4760.8909
53000	193.27482	-1151.786	4.8966154	-1146.8894	2413.1047	1.1999991	-1137.9421	5940.5288
54000	170.31682	-1151.1981	4.3149747	-1146.8831	2413.2553	1.1999242	-1146.2852	396.96003
55000	176.97089	-1151.364	4.4835554	-1146.8805	2413.4089	1.1998479	-1137.2094	6420.2755
56000	182.7279	-1151.5055	4.6294093	-1146.8761	2413.5656	1.19977	-1142.2226	3089.118
57000	173.04348	-1151.2536	4.3840545	-1146.8696	2413.725	1.1996907	-1132.08	9816.9966
58000	188.59791	-1151.6444	4.7781258	-1146.8663	2413.887	1.1996102	-1139.9281	4605.1093
59000	194.7129	-1151.7974	4.933049	-1146.8644	2414.0515	1.1995285	-1140.3196	4343.6736
60000	173.85652	-1151.2592	4.4046529	-1146.8546	2414.2189	1.1994453	-1138.5139	5535.2216
61000	177.73375	-1151.3543	4.5028825	-1146.8514	2414.3889	1.1993608	-1135.0958	7800.974
62000	187.24155	-1151.5884	4.7437626	-1146.8446	2414.5619	1.1992749	-1141.0421	3850.2602
63000	173.36725	-1151.2328	4.3922574	-1146.8405	2414.7378	1.1991876	-1139.173	5087.3733
64000	181.68212	-1151.4393	4.6029143	-1146.8364	2414.9164	1.1990989	-1139.747	4703.434
65000	176.12158	-1151.2932	4.4620381	-1146.8312	2415.098	1.1990087	-1142.9424	2579.8263
66000	184.21177	-1151.4917	4.6670031	-1146.8247	2415.2826	1.1989171	-1144.203	1739.1367
67000	176.60695	-1151.2933	4.4743349	-1146.819	2415.4701	1.198824	-1136.253	7008.3873
68000	177.63787	-1151.3155	4.5004534	-1146.815	2415.6603	1.1987296	-1141.2414	3696.6914
69000	179.27523	-1151.3515	4.5419358	-1146.8096	2415.853	1.198634	-1127.9606	12500.496
70000	186.81295	-1151.5381	4.7329038	-1146.8052	2416.0485	1.198537	-1136.9791	6516.1351
71000	181.1127	-1151.3852	4.5884881	-1146.7967	2416.2468	1.1984386	-1131.9162	9867.0193
72000	186.25568	-1151.5096	4.7187854	-1146.7908	2416.4479	1.1983389	-1144.3834	1596.2102
73000	186.98379	-1151.5254	4.7372321	-1146.7882	2416.6511	1.1982381	-1139.2096	5024.3544
74000	200.29113	-1151.855	5.0743734	-1146.7807	2416.8566	1.1981362	-1147.4396	-436.83953
75000	197.31429	-1151.775	4.9989553	-1146.776	2417.0645	1.1980332	-1145.0841	1121.5234
