Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1153.6539	7.6004965	-1146.0534	2409.211	1.2019385	-1133.8235	8133.1601
1000	147.68471	-1149.7771	3.7415904	-1146.0355	2409.2124	1.2019378	-1139.2857	4488.7333
2000	152.20717	-1149.8934	3.8561669	-1146.0372	2409.2163	1.2019359	-1135.6588	6901.8793
3000	158.94307	-1150.0642	4.0268209	-1146.0374	2409.2226	1.2019327	-1142.5726	2304.1745
4000	161.87267	-1150.1393	4.1010423	-1146.0383	2409.2316	1.2019283	-1136.7754	6159.9581
5000	151.33732	-1149.8701	3.8341292	-1146.0359	2409.2433	1.2019224	-1135.9464	6709.6794
6000	168.22379	-1150.2972	4.2619478	-1146.0352	2409.2578	1.2019152	-1143.5117	1678.1535
7000	165.69834	-1150.234	4.1979656	-1146.0361	2409.2752	1.2019065	-1137.8681	5431.7168
8000	174.70685	-1150.4614	4.4261961	-1146.0352	2409.2958	1.2018962	-1143.453	1717.1553
9000	187.80895	-1150.7936	4.7581375	-1146.0354	2409.3189	1.2018847	-1138.5947	4948.013
10000	178.70042	-1150.5595	4.527373	-1146.0321	2409.3443	1.201872	-1140.9037	3410.3437
11000	177.0149	-1150.5165	4.4846705	-1146.0318	2409.3719	1.2018583	-1134.9014	7401.4437
12000	188.40087	-1150.8061	4.7731339	-1146.0329	2409.4021	1.2018432	-1147.0272	-661.13106
13000	192.53374	-1150.9102	4.8778401	-1146.0323	2409.4346	1.201827	-1138.8842	4753.2496
14000	163.98986	-1150.1824	4.1546813	-1146.0277	2409.4694	1.2018096	-1149.9556	-2611.8102
15000	179.83957	-1150.5835	4.5562335	-1146.0272	2409.507	1.2017909	-1136.7826	6147.1412
16000	178.96055	-1150.5575	4.5339635	-1146.0235	2409.5475	1.2017706	-1137.5145	5657.9019
17000	188.96056	-1150.8106	4.7873135	-1146.0233	2409.5906	1.2017491	-1138.4028	5067.0389
18000	189.8939	-1150.8332	4.8109598	-1146.0223	2409.6362	1.2017264	-1136.3085	6458.7458
19000	180.50084	-1150.5932	4.5729867	-1146.0202	2409.6845	1.2017023	-1133.1541	8554.5737
20000	184.06185	-1150.6826	4.6632048	-1146.0194	2409.7359	1.2016767	-1138.8786	4747.7468
21000	178.35488	-1150.5345	4.5186188	-1146.0158	2409.79	1.2016497	-1134.8812	7402.9682
22000	183.09002	-1150.6538	4.6385836	-1146.0152	2409.8465	1.2016215	-1130.1567	10543.47
23000	182.0201	-1150.6275	4.611477	-1146.016	2409.9056	1.2015921	-1138.7643	4821.161
24000	183.09672	-1150.6481	4.6387533	-1146.0094	2409.9677	1.2015611	-1138.1785	5206.0774
25000	187.97949	-1150.7716	4.7624583	-1146.0091	2410.0324	1.2015289	-1143.0412	1973.0673
26000	181.13662	-1150.5941	4.5890942	-1146.005	2410.0992	1.2014956	-1133.299	8446.6193
27000	178.54729	-1150.5284	4.5234934	-1146.0049	2410.1681	1.2014612	-1139.8799	4071.659
28000	199.45912	-1151.0575	5.0532946	-1146.0042	2410.2395	1.2014256	-1137.9754	5337.081
29000	176.06396	-1150.4587	4.4605785	-1145.9981	2410.3129	1.2013891	-1151.7408	-3817.2198
30000	193.78021	-1150.9067	4.9094193	-1145.9973	2410.3884	1.2013514	-1139.7561	4148.4927
31000	200.83487	-1151.0824	5.0881492	-1145.9942	2410.4669	1.2013123	-1130.0066	10626.555
32000	183.21878	-1150.6312	4.6418456	-1145.9894	2410.548	1.2012719	-1140.3076	3776.379
33000	193.58053	-1150.8933	4.9043605	-1145.989	2410.6315	1.2012302	-1143.5817	1599.9607
34000	193.56417	-1150.8908	4.903946	-1145.9868	2410.7175	1.2011874	-1135.2427	7140.6101
35000	197.82481	-1150.9958	5.0118893	-1145.9839	2410.8058	1.2011434	-1138.3545	5070.3823
36000	196.85064	-1150.9657	4.9872086	-1145.9785	2410.8964	1.2010982	-1144.1345	1225.4692
37000	178.18667	-1150.4892	4.5143573	-1145.9749	2410.9896	1.2010519	-1127.4059	12339.683
38000	190.90086	-1150.8068	4.836471	-1145.9704	2411.0849	1.2010044	-1139.2171	4487.5525
39000	186.33444	-1150.6901	4.7207808	-1145.9693	2411.1827	1.2009556	-1134.8544	7385.6037
40000	197.70006	-1150.9771	5.0087288	-1145.9684	2411.283	1.2009057	-1132.4612	8974.8363
41000	189.82603	-1150.7681	4.8092403	-1145.9588	2411.3858	1.2008545	-1143.755	1464.2714
42000	201.03698	-1151.0513	5.0932697	-1145.958	2411.4907	1.2008022	-1138.9199	4676.0948
43000	196.56815	-1150.9325	4.9800518	-1145.9525	2411.598	1.2007488	-1140.1302	3868.0958
44000	176.72677	-1150.4263	4.4773708	-1145.949	2411.7077	1.2006942	-1135.4402	6981.2906
45000	190.59632	-1150.7733	4.8287555	-1145.9446	2411.8197	1.2006385	-1140.9318	3330.0212
46000	188.66126	-1150.7201	4.7797308	-1145.9404	2411.9336	1.2005818	-1141.072	3233.9518
47000	196.69956	-1150.9202	4.983381	-1145.9368	2412.0498	1.2005239	-1142.9345	1994.2663
48000	214.43693	-1151.3663	5.4327572	-1145.9335	2412.1681	1.200465	-1140.1732	3826.0522
49000	199.77344	-1150.988	5.0612578	-1145.9267	2412.2886	1.2004051	-1135.5913	6864.4722
50000	205.29412	-1151.1245	5.2011243	-1145.9233	2412.4115	1.2003439	-1134.5217	7572.2622
51000	202.0947	-1151.0397	5.1200669	-1145.9197	2412.5369	1.2002816	-1128.8357	11345.529
52000	217.31176	-1151.4202	5.5055909	-1145.9146	2412.6653	1.2002176	-1135.8721	6668.9152
53000	211.9325	-1151.2792	5.3693074	-1145.9099	2412.7966	1.2001523	-1135.858	6674.7709
54000	213.57671	-1151.3167	5.4109634	-1145.9057	2412.9307	1.2000856	-1134.4356	7616.0877
55000	204.67611	-1151.0844	5.1854669	-1145.8989	2413.0681	1.2000173	-1137.743	5415.2012
56000	210.64742	-1151.2308	5.3367501	-1145.8941	2413.2083	1.1999476	-1132.5041	8889.8726
57000	202.44919	-1151.0172	5.129048	-1145.8882	2413.3516	1.1998763	-1137.2375	5742.9975
58000	215.80423	-1151.3533	5.4673976	-1145.8859	2413.498	1.1998036	-1136.3008	6362.9543
59000	206.33171	-1151.1061	5.2274116	-1145.8787	2413.647	1.1997295	-1136.3329	6336.4993
60000	204.39094	-1151.0524	5.1782421	-1145.8741	2413.7989	1.199654	-1136.9295	5937.0597
61000	217.14511	-1151.373	5.5013688	-1145.8717	2413.9539	1.199577	-1139.6896	4103.1463
62000	207.57171	-1151.1265	5.2588268	-1145.8677	2414.1117	1.1994985	-1141.0836	3175.0841
63000	207.07115	-1151.106	5.2461452	-1145.8599	2414.2727	1.1994186	-1138.3037	5014.5099
64000	215.49022	-1151.3152	5.4594422	-1145.8557	2414.437	1.1993369	-1145.7794	50.614904
65000	203.21126	-1150.9978	5.148355	-1145.8494	2414.6047	1.1992536	-1143.2967	1693.7837
66000	213.59743	-1151.2534	5.4114885	-1145.8419	2414.7754	1.1991689	-1143.5303	1533.7334
67000	217.29265	-1151.3452	5.5051068	-1145.8401	2414.9488	1.1990828	-1144.5463	858.32679
68000	201.17016	-1150.926	5.0966436	-1145.8294	2415.125	1.1989953	-1131.4879	9514.0558
69000	212.59183	-1151.215	5.3860115	-1145.829	2415.3041	1.1989064	-1142.5105	2201.3403
70000	194.80036	-1150.7545	4.935265	-1145.8193	2415.4858	1.1988162	-1140.7417	3367.9454
71000	216.32148	-1151.2958	5.4805023	-1145.8153	2415.6699	1.1987248	-1139.1544	4417.8413
72000	205.78961	-1151.0208	5.2136773	-1145.8071	2415.8563	1.1986324	-1135.1674	7056.1754
73000	203.73938	-1150.9634	5.1617348	-1145.8017	2416.045	1.1985387	-1135.0166	7152.0046
74000	214.81287	-1151.2376	5.4422817	-1145.7953	2416.2357	1.1984441	-1143.3937	1592.4462
75000	198.57422	-1150.8177	5.0308757	-1145.7868	2416.4291	1.1983482	-1141.2874	2983.2439
76000	212.53444	-1151.1701	5.3845576	-1145.7855	2416.6248	1.1982512	-1140.4356	3546.8899
77000	205.96674	-1150.9983	5.2181649	-1145.7801	2416.8227	1.198153	-1137.0868	5763.0518
78000	206.74886	-1151.0092	5.23798	-1145.7712	2417.0232	1.1980537	-1135.5947	6745.6813
79000	227.53692	-1151.5268	5.7646453	-1145.7622	2417.2264	1.1979529	-1142.9437	1868.0982
80000	204.07298	-1150.9285	5.1701866	-1145.7584	2417.4324	1.1978509	-1138.683	4689.2762
81000	211.5004	-1151.1085	5.3583601	-1145.7501	2417.6412	1.1977474	-1135.2934	6929.6841
82000	220.26423	-1151.327	5.5803918	-1145.7466	2417.8529	1.1976426	-1133.0776	8395.0656
83000	208.09382	-1151.0129	5.2720546	-1145.7408	2418.0673	1.1975363	-1140.5973	3408.0174
84000	224.65664	-1151.4235	5.6916734	-1145.7318	2418.2846	1.1974288	-1136.9093	5845.1403
85000	219.14046	-1151.2765	5.5519209	-1145.7246	2418.5047	1.1973198	-1145.6458	52.213652
86000	205.36927	-1150.9182	5.2030282	-1145.7152	2418.7278	1.1972093	-1126.87	12483.117
87000	208.62219	-1150.9967	5.2854407	-1145.7112	2418.9537	1.1970975	-1134.9845	7104.7836
88000	227.09122	-1151.462	5.7533533	-1145.7086	2419.1824	1.1969843	-1135.7907	6568.4317
89000	210.00906	-1151.0194	5.3205772	-1145.6988	2419.414	1.1968698	-1129.1747	10942.512
