Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1154.8848	7.6004965	-1147.2843	2409.211	1.2019385	-1144.1198	2104.4556
1000	155.7722	-1151.2152	3.946487	-1147.2687	2409.211	1.2019385	-1147.6551	-256.94644
2000	161.23749	-1151.3535	4.08495	-1147.2686	2409.2107	1.2019387	-1152.942	-3772.9356
3000	150.61911	-1151.0847	3.8159333	-1147.2688	2409.2105	1.2019388	-1151.8136	-3022.3909
4000	160.83745	-1151.339	4.0748149	-1147.2642	2409.2104	1.2019388	-1148.0442	-518.68102
5000	149.93317	-1151.062	3.7985552	-1147.2634	2409.2102	1.2019389	-1144.1773	2052.3511
6000	172.286	-1151.6312	4.3648639	-1147.2664	2409.2101	1.201939	-1144.8281	1621.4876
7000	165.62208	-1151.457	4.1960335	-1147.261	2409.2099	1.2019391	-1148.942	-1117.9551
8000	186.25114	-1151.9802	4.7186706	-1147.2615	2409.21	1.201939	-1143.0517	2799.6043
9000	191.25797	-1152.1065	4.8455183	-1147.261	2409.2098	1.2019391	-1145.3741	1254.8233
10000	188.50987	-1152.0361	4.7758953	-1147.2602	2409.2095	1.2019393	-1144.2313	2014.3236
11000	180.13931	-1151.8253	4.5638274	-1147.2615	2409.2091	1.2019395	-1145.3605	1264.1602
12000	194.86609	-1152.1984	4.9369301	-1147.2615	2409.2086	1.2019397	-1147.6944	-287.91213
13000	192.50821	-1152.136	4.8771934	-1147.2588	2409.2078	1.2019401	-1149.5336	-1512.7673
14000	204.24439	-1152.4317	5.1745292	-1147.2572	2409.2068	1.2019406	-1147.6323	-249.40949
15000	198.35262	-1152.2833	5.0252613	-1147.258	2409.2056	1.2019412	-1148.6832	-947.80234
16000	205.31348	-1152.4546	5.2016146	-1147.253	2409.2043	1.2019418	-1146.7606	327.4638
17000	193.06566	-1152.146	4.8913163	-1147.2547	2409.2029	1.2019425	-1157.5117	-6821.1499
18000	208.48075	-1152.5343	5.2818573	-1147.2524	2409.2014	1.2019433	-1151.3768	-2742.7949
19000	194.62193	-1152.1804	4.9307443	-1147.2496	2409.1995	1.2019442	-1149.4281	-1448.7491
20000	206.53487	-1152.4795	5.2325587	-1147.2469	2409.1971	1.2019455	-1145.5793	1109.026
21000	203.10409	-1152.3916	5.1456399	-1147.246	2409.1943	1.2019468	-1156.6716	-6268.254
22000	194.25038	-1152.1652	4.9213312	-1147.2439	2409.1908	1.2019486	-1151.6504	-2930.4834
23000	204.30978	-1152.4155	5.176186	-1147.2394	2409.1866	1.2019507	-1159.2086	-7959.9173
24000	213.71547	-1152.6519	5.4144789	-1147.2374	2409.1819	1.2019531	-1145.6213	1074.797
25000	204.94268	-1152.4282	5.1922204	-1147.2359	2409.1768	1.2019556	-1145.899	889.0921
26000	217.22075	-1152.7395	5.5032852	-1147.2362	2409.1708	1.2019586	-1147.2945	-38.752883
