Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1154.7387	7.6004965	-1147.1382	2485.6098	1.1649952	-1147.4484	-200.00215
1000	174.1753	-1151.5386	4.4127291	-1147.1259	2485.6093	1.1649954	-1146.6159	328.70858
2000	176.33036	-1151.5894	4.4673277	-1147.1221	2485.6082	1.164996	-1153.6535	-4210.0482
3000	191.05115	-1151.9636	4.8402787	-1147.1234	2485.6067	1.1649966	-1146.4176	454.92348
4000	183.39843	-1151.7678	4.6463971	-1147.1214	2485.6048	1.1649976	-1155.8027	-5595.8194
5000	206.51456	-1152.3537	5.2320439	-1147.1216	2485.6022	1.1649987	-1151.5202	-2835.2381
6000	204.23242	-1152.2965	5.1742259	-1147.1223	2485.5988	1.1650003	-1146.6724	289.97357
7000	207.97852	-1152.3911	5.2691335	-1147.122	2485.5946	1.1650023	-1149.0208	-1223.9672
8000	205.86713	-1152.3376	5.2156414	-1147.122	2485.5894	1.1650048	-1155.9272	-5675.7116
9000	212.69125	-1152.5094	5.3885303	-1147.1209	2485.5832	1.1650077	-1143.6208	2256.1481
10000	190.3764	-1151.9419	4.8231839	-1147.1187	2485.5762	1.1650109	-1150.5768	-2229.0216
11000	208.63224	-1152.4039	5.2856954	-1147.1182	2485.5682	1.1650147	-1145.0862	1309.8264
12000	185.99748	-1151.827	4.7122441	-1147.1148	2485.559	1.165019	-1148.8738	-1133.8287
13000	206.46013	-1152.3467	5.230665	-1147.1161	2485.5488	1.1650238	-1138.5332	5532.4907
14000	194.99925	-1152.0539	4.9403036	-1147.1136	2485.5376	1.165029	-1152.6259	-3553.2373
15000	200.46053	-1152.1911	5.0786651	-1147.1124	2485.5251	1.1650349	-1152.294	-3340.0879
16000	186.69709	-1151.8393	4.7299686	-1147.1093	2485.5116	1.1650412	-1147.6732	-363.47216
17000	191.12114	-1151.9515	4.8420519	-1147.1094	2485.4974	1.1650479	-1151.859	-3061.6192
18000	187.53625	-1151.8584	4.7512286	-1147.1071	2485.4823	1.165055	-1151.6823	-2949.2426
