Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1152.5735	7.6004965	-1144.973	2547.805	1.1365562	-1144.4482	330.04693
1000	179.70234	-1149.5095	4.5527567	-1144.9567	2547.8045	1.1365564	-1140.7485	2646.3462
2000	197.43162	-1149.9577	5.0019279	-1144.9557	2547.8038	1.1365567	-1143.156	1131.7327
3000	217.9229	-1150.4779	5.5210743	-1144.9568	2547.8021	1.1365575	-1141.2777	2313.5546
4000	217.37956	-1150.4642	5.5073085	-1144.9569	2547.7997	1.1365585	-1146.9072	-1226.4396
5000	198.12567	-1149.9735	5.0195116	-1144.954	2547.7971	1.1365597	-1156.5843	-7313.689
6000	196.89362	-1149.9429	4.9882977	-1144.9546	2547.7937	1.1365612	-1146.5794	-1021.7878
7000	219.62261	-1150.5194	5.5641362	-1144.9552	2547.79	1.1365629	-1149.6288	-2938.9789
8000	221.35931	-1150.5621	5.6081356	-1144.954	2547.7859	1.1365647	-1146.3844	-899.49186
9000	217.37979	-1150.4609	5.5073145	-1144.9536	2547.7818	1.1365665	-1148.6475	-2322.878
10000	215.95415	-1150.4234	5.4711959	-1144.9522	2547.7776	1.1365684	-1156.1981	-7072.0323
11000	202.24728	-1150.0739	5.1239326	-1144.95	2547.773	1.1365705	-1150.5364	-3513.0561
12000	209.18076	-1150.2519	5.2995922	-1144.9523	2547.7682	1.1365726	-1143.7286	769.53558
13000	204.17765	-1150.1221	5.1728385	-1144.9493	2547.7631	1.1365749	-1147.629	-1685.1576
14000	213.26993	-1150.3522	5.4031911	-1144.949	2547.7575	1.1365774	-1148.8723	-2467.1804
15000	216.72629	-1150.438	5.4907581	-1144.9473	2547.7517	1.13658	-1143.272	1053.5352
16000	204.561	-1150.1278	5.1825505	-1144.9452	2547.746	1.1365825	-1142.3172	1652.6366
17000	208.18584	-1150.2189	5.2743859	-1144.9445	2547.7401	1.1365851	-1145.3386	-247.84813
18000	221.77324	-1150.5607	5.6186224	-1144.9421	2547.7338	1.1365879	-1144.0246	576.9853
19000	219.38454	-1150.4995	5.5581048	-1144.9414	2547.7271	1.1365909	-1147.4721	-1591.4954
20000	226.76999	-1150.6873	5.745215	-1144.9421	2547.72	1.1365941	-1148.0253	-1938.9532
21000	213.60059	-1150.3481	5.4115686	-1144.9365	2547.7127	1.1365974	-1139.7072	3288.5638
22000	230.03959	-1150.7653	5.8280502	-1144.9372	2547.7053	1.1366006	-1142.5327	1512.1726
23000	211.41794	-1150.2915	5.356271	-1144.9353	2547.6977	1.136604	-1147.6062	-1679.6827
24000	237.40808	-1150.9475	6.014731	-1144.9328	2547.69	1.1366075	-1136.7826	5125.4305
25000	217.57167	-1150.4432	5.5121758	-1144.931	2547.6821	1.136611	-1143.6141	828.20041
26000	220.24748	-1150.5086	5.5799673	-1144.9287	2547.6737	1.1366147	-1150.85	-3723.7868
27000	218.22697	-1150.4535	5.5287779	-1144.9247	2547.665	1.1366186	-1144.0045	578.71245
28000	215.23056	-1150.376	5.4528637	-1144.9232	2547.6556	1.1366228	-1154.1045	-5773.9789
29000	225.60222	-1150.636	5.7156297	-1144.9204	2547.6456	1.1366273	-1141.0114	2458.3401
30000	211.9748	-1150.2911	5.370379	-1144.9207	2547.6355	1.1366318	-1144.789	82.802775
31000	238.60869	-1150.9628	6.0451483	-1144.9177	2547.6253	1.1366363	-1147.721	-1762.989
32000	213.39629	-1150.3191	5.4063926	-1144.9127	2547.6146	1.1366411	-1146.1621	-785.73465
33000	208.07261	-1150.1812	5.271517	-1144.9097	2547.6038	1.1366459	-1142.8778	1277.8549
34000	226.89065	-1150.6565	5.7482721	-1144.9083	2547.5931	1.1366507	-1140.2031	2959.0641
35000	250.92295	-1151.2642	6.3571299	-1144.907	2547.5822	1.1366556	-1148.7843	-2438.4312
36000	255.75815	-1151.3839	6.4796299	-1144.9043	2547.571	1.1366606	-1141.9595	1851.9415
37000	254.78175	-1151.3568	6.4548926	-1144.9019	2547.5596	1.1366657	-1145.6447	-467.147
38000	239.82265	-1150.9735	6.075904	-1144.8976	2547.5477	1.136671	-1143.8943	630.94894
39000	249.50615	-1151.2163	6.3212355	-1144.8951	2547.5355	1.1366764	-1150.7128	-3658.8153
40000	262.76039	-1151.5467	6.6570315	-1144.8896	2547.5226	1.1366822	-1143.9192	610.34534
41000	258.34333	-1151.4308	6.5451254	-1144.8857	2547.5091	1.1366882	-1148.9208	-2537.7669
42000	252.21264	-1151.2691	6.3898043	-1144.8793	2547.4948	1.1366946	-1139.3561	3473.6129
43000	254.06419	-1151.3143	6.4367132	-1144.8775	2547.4801	1.1367011	-1138.9341	3737.9597
44000	263.70131	-1151.5567	6.6808696	-1144.8758	2547.4656	1.1367076	-1154.5759	-6100.6655
45000	243.61845	-1151.0413	6.1720707	-1144.8693	2547.4509	1.1367142	-1145.9308	-667.62599
46000	260.63662	-1151.4713	6.6032257	-1144.8681	2547.4358	1.1367209	-1144.4153	284.76594
47000	234.44191	-1150.7981	5.9395832	-1144.8585	2547.4204	1.1367277	-1149.707	-3049.428
48000	260.03067	-1151.4471	6.5878739	-1144.8593	2547.4054	1.1367345	-1143.2773	994.98412
49000	250.88267	-1151.2129	6.3561094	-1144.8567	2547.3902	1.1367413	-1143.7545	693.23292
50000	259.50075	-1151.4247	6.5744484	-1144.8503	2547.3753	1.1367479	-1148.2839	-2159.5938
51000	263.97679	-1151.5358	6.687849	-1144.8479	2547.3601	1.1367547	-1145.3863	-338.64644
52000	242.87175	-1150.9966	6.153153	-1144.8434	2547.3446	1.1367616	-1151.6839	-4302.3638
53000	252.57752	-1151.2371	6.3990486	-1144.8381	2547.3292	1.1367685	-1146.7341	-1192.5699
54000	266.38136	-1151.5836	6.7487688	-1144.8348	2547.3131	1.1367756	-1149.1041	-2685.2756
55000	260.80244	-1151.4369	6.6074267	-1144.8294	2547.2961	1.1367832	-1142.9123	1205.8568
56000	256.63179	-1151.3265	6.5017635	-1144.8248	2547.2789	1.1367909	-1147.7978	-1869.9826
57000	261.24262	-1151.4399	6.6185787	-1144.8213	2547.2617	1.1367986	-1144.4053	261.67286
58000	275.14595	-1151.786	6.9708195	-1144.8152	2547.2442	1.1368064	-1148.1398	-2091.1073
59000	262.24024	-1151.4561	6.6438534	-1144.8123	2547.226	1.1368145	-1148.7686	-2488.4764
60000	269.86802	-1151.6449	6.8371031	-1144.8078	2547.2076	1.1368227	-1141.9313	1809.3404
61000	261.31716	-1151.4212	6.6204671	-1144.8007	2547.1888	1.1368311	-1144.624	111.12963
62000	277.3529	-1151.8256	7.0267326	-1144.7989	2547.17	1.1368395	-1148.1679	-2119.1052
63000	250.73666	-1151.1409	6.3524103	-1144.7885	2547.1512	1.1368479	-1152.9088	-5107.7018
64000	264.01537	-1151.4768	6.6888263	-1144.7879	2547.1318	1.1368565	-1151.6025	-4286.4516
65000	265.69763	-1151.5141	6.7314463	-1144.7826	2547.1119	1.1368654	-1149.5646	-3007.9718
66000	265.618	-1151.5056	6.729429	-1144.7762	2547.092	1.1368743	-1146.5244	-1099.6393
67000	268.83724	-1151.5829	6.8109885	-1144.7719	2547.072	1.1368833	-1140.9679	2392.8235
68000	270.57574	-1151.6245	6.8550333	-1144.7695	2547.0514	1.1368925	-1142.245	1587.9593
69000	261.54522	-1151.3895	6.6262452	-1144.7632	2547.0309	1.1369016	-1153.1751	-5291.3853
70000	265.06	-1151.4736	6.715292	-1144.7583	2547.0097	1.1369111	-1142.9342	1147.4447
71000	266.39218	-1151.4991	6.7490428	-1144.7501	2546.9881	1.1369207	-1134.4437	6483.2223
72000	280.15672	-1151.8445	7.0977674	-1144.7467	2546.9665	1.1369304	-1142.4471	1446.6223
73000	277.77086	-1151.7791	7.0373216	-1144.7418	2546.9442	1.1369403	-1139.9981	2984.0281
74000	275.32437	-1151.7134	6.9753396	-1144.7381	2546.9217	1.1369503	-1143.514	770.04143
75000	280.91929	-1151.8491	7.117087	-1144.732	2546.8994	1.1369603	-1154.0234	-5844.943
76000	257.24357	-1151.2446	6.5172629	-1144.7273	2546.8771	1.1369702	-1151.425	-4213.3343
77000	272.89584	-1151.633	6.913813	-1144.7192	2546.8546	1.1369803	-1150.9622	-3927.3701
78000	251.81358	-1151.0939	6.3796941	-1144.7142	2546.8317	1.1369905	-1147.9894	-2060.3725
79000	281.38296	-1151.8419	7.1288341	-1144.713	2546.8089	1.1370007	-1140.2622	2799.9773
80000	273.55553	-1151.6355	6.9305261	-1144.705	2546.7856	1.1370111	-1141.7063	1886.4605
81000	249.15947	-1151.0077	6.3124522	-1144.6953	2546.7622	1.1370215	-1140.3669	2723.0295
82000	281.48396	-1151.8255	7.1313929	-1144.6941	2546.7394	1.1370317	-1148.7109	-2527.0203
83000	277.14121	-1151.7113	7.0213693	-1144.6899	2546.7158	1.1370423	-1149.554	-3060.0414
84000	263.25694	-1151.3535	6.6696115	-1144.6838	2546.6916	1.1370531	-1138.7924	3706.4325
85000	256.04745	-1151.1628	6.4869591	-1144.6759	2546.6671	1.137064	-1146.5776	-1196.4332
86000	262.09566	-1151.3105	6.6401905	-1144.6703	2546.6429	1.1370748	-1149.9957	-3350.4219
87000	270.1224	-1151.5074	6.8435478	-1144.6638	2546.6184	1.1370857	-1142.384	1434.312
88000	275.55649	-1151.6431	6.9812206	-1144.6619	2546.5935	1.1370969	-1147.5306	-1804.812
89000	266.2476	-1151.404	6.7453798	-1144.6587	2546.5681	1.1371082	-1143.9508	445.35752
90000	276.18968	-1151.6467	6.9972623	-1144.6495	2546.5428	1.1371195	-1135.0868	6016.4313
91000	262.01211	-1151.2783	6.6380738	-1144.6402	2546.5175	1.1371308	-1155.9903	-7141.0995
92000	265.01952	-1151.3471	6.7142664	-1144.6328	2546.4921	1.1371421	-1146.5869	-1229.4562
93000	274.56406	-1151.5907	6.9560773	-1144.6346	2546.4672	1.1371533	-1147.0385	-1512.4406
