Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1156.8956	7.6004965	-1149.2951	2429.4917	1.1919051	-1136.3928	8508.6384
1000	141.07432	-1152.8518	3.5741163	-1149.2777	2429.4933	1.1919043	-1146.5492	1799.3583
2000	156.94744	-1153.2567	3.9762617	-1149.2804	2429.4979	1.191902	-1146.5354	1810.2317
3000	159.70994	-1153.3248	4.0462494	-1149.2786	2429.5057	1.1918982	-1136.1047	8687.7637
4000	158.67768	-1153.2997	4.0200972	-1149.2796	2429.5166	1.1918929	-1135.3503	9185.9106
5000	152.31989	-1153.1366	3.8590226	-1149.2776	2429.5306	1.191886	-1140.2584	5947.8285
6000	143.1956	-1152.9049	3.6278589	-1149.277	2429.5478	1.1918776	-1135.9655	8778.293
7000	151.22639	-1153.109	3.8313189	-1149.2777	2429.568	1.1918676	-1142.2863	4610.4166
8000	145.51159	-1152.962	3.6865344	-1149.2754	2429.5914	1.1918562	-1136.5932	8363.24
9000	147.15856	-1153.0037	3.7282603	-1149.2755	2429.618	1.1918431	-1148.0199	827.95696
10000	148.45617	-1153.0366	3.7611354	-1149.2755	2429.6481	1.1918284	-1142.5326	4446.4376
11000	164.73274	-1153.448	4.1735021	-1149.2745	2429.6812	1.1918121	-1134.5656	9699.3525
12000	159.38554	-1153.3115	4.0380308	-1149.2735	2429.7175	1.1917943	-1128.9035	13432.106
13000	154.54495	-1153.1881	3.9153946	-1149.2727	2429.7569	1.191775	-1140.75	5619.8305
14000	144.2651	-1152.9263	3.6549546	-1149.2713	2429.7997	1.191754	-1143.8465	3577.032
15000	153.41734	-1153.156	3.8868266	-1149.2692	2429.8455	1.1917315	-1141.0561	5415.4602
16000	156.54517	-1153.2356	3.96607	-1149.2696	2429.8947	1.1917074	-1139.2429	6611.1828
17000	149.48924	-1153.0539	3.7873083	-1149.2666	2429.9472	1.1916817	-1144.4476	3177.3885
18000	151.53297	-1153.1057	3.839086	-1149.2666	2430.003	1.1916543	-1140.7872	5590.7548
19000	146.62223	-1152.979	3.7146724	-1149.2643	2430.0619	1.1916254	-1143.312	3924.43
20000	141.76215	-1152.854	3.5915423	-1149.2625	2430.1242	1.1915949	-1138.7833	6908.9093
21000	157.62268	-1153.2528	3.9933688	-1149.2594	2430.1898	1.1915627	-1142.3634	4546.4035
22000	149.71294	-1153.0517	3.7929757	-1149.2587	2430.2585	1.191529	-1145.8687	2234.9411
23000	149.16244	-1153.0358	3.7790286	-1149.2568	2430.3303	1.1914938	-1139.8907	6174.4959
24000	146.39215	-1152.9632	3.7088434	-1149.2543	2430.4053	1.191457	-1141.4139	5168.5845
25000	149.19226	-1153.0309	3.7797842	-1149.2511	2430.4837	1.1914186	-1135.0185	9382.1117
26000	146.98296	-1152.9747	3.7238116	-1149.2509	2430.5654	1.1913786	-1134.1628	9945.7552
27000	154.38518	-1153.1589	3.9113467	-1149.2475	2430.65	1.1913371	-1137.4641	7767.107
28000	151.8308	-1153.0936	3.8466315	-1149.247	2430.7376	1.1912941	-1137.5372	7718.2989
29000	157.11853	-1153.2252	3.9805961	-1149.2446	2430.8287	1.1912495	-1145.2152	2655.7769
30000	149.90278	-1153.0372	3.7977853	-1149.2394	2430.9229	1.1912034	-1136.7165	8253.5963
31000	152.77854	-1153.1087	3.8706425	-1149.238	2431.0203	1.1911556	-1133.5387	10346.688
32000	158.64271	-1153.2544	4.0192112	-1149.2352	2431.121	1.1911063	-1141.1706	5314.768
33000	156.51726	-1153.2002	3.9653629	-1149.2348	2431.2249	1.1910554	-1139.0661	6701.209
34000	142.59104	-1152.8423	3.6125425	-1149.2298	2431.332	1.1910029	-1136.3193	8507.6212
35000	154.71568	-1153.1456	3.9197199	-1149.2258	2431.4423	1.1909489	-1135.6588	8939.8533
36000	156.36847	-1153.1844	3.9615934	-1149.2228	2431.5559	1.1908932	-1147.5385	1109.752
37000	143.24096	-1152.8483	3.6290081	-1149.2193	2431.6729	1.190836	-1149.313	-61.771746
38000	149.46458	-1153.0027	3.7866835	-1149.2161	2431.793	1.1907771	-1137.0018	8047.2894
39000	145.66009	-1152.9031	3.6902968	-1149.2128	2431.9164	1.1907167	-1138.5238	7042.0144
40000	157.19353	-1153.1953	3.9824962	-1149.2128	2432.043	1.1906547	-1136.3633	8464.9896
