Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-829.52855	6.5534894	-822.97506	1507.0168	1.2815577	-805.91775	18134.385
1000	148.35776	-826.1938	3.2408701	-822.95293	1507.0189	1.2815559	-804.97731	19110.654
2000	149.18605	-826.20902	3.258964	-822.95006	1507.0251	1.2815507	-798.03115	26492.245
3000	165.31067	-826.56354	3.6112058	-822.95234	1507.0354	1.2815419	-809.08701	14740.66
4000	172.97112	-826.72912	3.7785479	-822.95057	1507.0498	1.2815297	-809.95799	13812.69
5000	164.05754	-826.53828	3.583831	-822.95445	1507.0677	1.2815144	-807.29512	16647.566
6000	152.21738	-826.27404	3.3251833	-822.94885	1507.0887	1.2814966	-808.24129	15635.522
7000	177.94773	-826.83979	3.8872618	-822.95252	1507.1124	1.2814764	-804.11829	20022.24
8000	167.77501	-826.61405	3.6650392	-822.94901	1507.1394	1.2814534	-811.37897	12299.624
9000	172.81224	-826.72305	3.7750773	-822.94797	1507.1697	1.2814277	-808.52186	15335.486
10000	167.9215	-826.61841	3.6682392	-822.95017	1507.2031	1.2813993	-813.13321	10435.557
11000	178.48577	-826.84975	3.8990154	-822.95073	1507.2393	1.2813685	-811.66565	11995.901
12000	191.76683	-827.13786	4.1891395	-822.94872	1507.2787	1.281335	-809.90632	13863.546
13000	189.07938	-827.07601	4.1304323	-822.94558	1507.3213	1.2812988	-812.98913	10583.002
14000	169.89763	-826.65691	3.7114077	-822.9455	1507.3672	1.2812598	-806.70151	17265.699
15000	194.57465	-827.19356	4.2504764	-822.94308	1507.4168	1.2812176	-810.63479	13082.017
16000	201.50239	-827.34757	4.4018125	-822.94576	1507.4703	1.2811722	-810.13882	13611.524
17000	208.08303	-827.49464	4.5455664	-822.94907	1507.5277	1.2811234	-811.64371	12015.157
18000	196.26198	-827.22924	4.2873359	-822.9419	1507.5891	1.2810712	-809.58212	14197.982
19000	204.31595	-827.40468	4.4632747	-822.9414	1507.6543	1.2810158	-810.25411	13482.721
20000	188.25704	-827.05556	4.1124684	-822.94309	1507.7234	1.2809571	-804.58189	19511.458
