Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-829.45196	6.5534894	-822.89847	1507.0168	1.2815577	-807.17816	16712.962
1000	145.8447	-826.05782	3.1859722	-822.87184	1507.0186	1.2815561	-808.03406	15774.689
2000	162.70273	-826.42951	3.5542353	-822.87527	1507.024	1.2815516	-809.1252	14618.243
3000	163.52308	-826.44431	3.572156	-822.87216	1507.0331	1.2815438	-804.71737	19300.954
4000	189.68862	-827.01615	4.1437411	-822.87241	1507.0463	1.2815326	-809.63267	14075.474
5000	186.58299	-826.94582	4.0758988	-822.86993	1507.0635	1.281518	-805.0182	18978.373
6000	195.82575	-827.15034	4.2778066	-822.87253	1507.0847	1.2814999	-813.29938	10177.191
7000	178.42132	-826.76839	3.8976073	-822.87078	1507.1099	1.2814785	-810.68993	12949.203
8000	201.81449	-827.28456	4.4086303	-822.87593	1507.1389	1.2814539	-803.97705	20090.615
9000	206.23126	-827.37817	4.5051145	-822.87305	1507.1719	1.2814258	-805.47819	18491.351
10000	205.75566	-827.36589	4.494725	-822.87117	1507.2087	1.2813945	-809.65787	14045.852
11000	184.86448	-826.90518	4.038358	-822.86682	1507.2493	1.28136	-807.98929	15814.522
12000	192.77479	-827.08188	4.2111584	-822.87072	1507.2934	1.2813225	-806.90519	16970.55
13000	193.06422	-827.08471	4.217481	-822.86723	1507.3412	1.2812819	-809.73947	13953.703
14000	186.9631	-826.95171	4.0842024	-822.8675	1507.3927	1.2812381	-811.26567	12331.354
15000	180.267	-826.80346	3.9379261	-822.86554	1507.448	1.2811911	-804.21322	19824.433
16000	193.37473	-827.09347	4.2242641	-822.8692	1507.5071	1.2811409	-811.39796	12191.617
17000	201.23715	-827.26462	4.3960183	-822.8686	1507.57	1.2810874	-808.10349	15691.688
18000	197.84187	-827.1852	4.3218487	-822.86335	1507.6365	1.281031	-806.83589	17032.505
19000	183.50912	-826.86993	4.0087502	-822.86118	1507.7064	1.2809715	-807.01048	16843.873
20000	218.97949	-827.65453	4.7835992	-822.87093	1507.7799	1.2809091	-810.25318	13407.7
21000	201.603	-827.26869	4.4040105	-822.86468	1507.857	1.2808436	-808.79177	14953.197
22000	197.41601	-827.17497	4.3125458	-822.86242	1507.9377	1.2807751	-809.14198	14577.902
23000	193.65083	-827.09171	4.2302955	-822.86142	1508.0219	1.2807035	-815.30471	8028.5214
24000	202.20609	-827.27735	4.4171849	-822.86017	1508.1096	1.2806291	-809.24798	14461.234
25000	197.08297	-827.16286	4.3052705	-822.85759	1508.2007	1.2805517	-816.38376	6877.2112
26000	193.33588	-827.08392	4.2234155	-822.86051	1508.2954	1.2804713	-809.25635	14450.921
27000	199.38234	-827.21566	4.3555002	-822.86016	1508.3935	1.280388	-807.09637	16743.886
28000	202.47337	-827.28153	4.4230236	-822.85851	1508.4953	1.2803016	-805.18201	18774.252
29000	185.39867	-826.90354	4.0500273	-822.85351	1508.6006	1.2802123	-805.51488	18414.114
30000	188.55305	-826.96971	4.1189347	-822.85077	1508.7094	1.28012	-802.27564	21849.795
31000	189.7153	-826.99596	4.1443239	-822.85163	1508.8216	1.2800247	-805.94397	17953.788
32000	201.48215	-827.25137	4.4013705	-822.85	1508.9373	1.2799266	-804.12024	19887.092
33000	208.16296	-827.40028	4.5473125	-822.85297	1509.0564	1.2798255	-809.28237	14408.005
34000	187.85896	-826.95017	4.1037723	-822.84639	1509.1788	1.2797218	-810.06469	13569.335
35000	205.06693	-827.3233	4.4796798	-822.84362	1509.3047	1.279615	-811.1491	12414.115
36000	196.28794	-827.13015	4.2879031	-822.84225	1509.4343	1.2795052	-808.7325	14976.679
37000	202.11475	-827.25742	4.4151895	-822.84223	1509.5673	1.2793924	-805.39575	18516.797
38000	212.66324	-827.48975	4.6456209	-822.84413	1509.704	1.2792766	-809.91628	13719.708
39000	194.94472	-827.0955	4.2585606	-822.83694	1509.8442	1.2791578	-805.62922	18260.03
40000	208.53924	-827.39509	4.5555323	-822.83955	1509.9881	1.2790359	-809.89324	13736.72
41000	191.84007	-827.02582	4.1907395	-822.83508	1510.1355	1.2789111	-806.74396	17071.854
42000	205.08226	-827.31378	4.4800147	-822.83376	1510.2862	1.2787834	-813.67145	9719.7765
43000	202.98027	-827.26386	4.4340969	-822.82976	1510.4405	1.2786528	-807.3808	16387.252
44000	211.61121	-827.45339	4.6226393	-822.83075	1510.5984	1.2785191	-810.70109	12865.005
45000	201.02572	-827.21843	4.3913997	-822.82703	1510.7599	1.2783825	-812.05487	11423.989
46000	210.48117	-827.42001	4.5979536	-822.82206	1510.9248	1.2782429	-808.88277	14781.149
47000	202.30769	-827.24122	4.4194044	-822.82181	1511.0932	1.2781005	-807.10988	16658.989
48000	207.93314	-827.36134	4.5422922	-822.81905	1511.2651	1.2779551	-805.93476	17899.981
49000	198.95152	-827.16531	4.3460888	-822.81922	1511.4405	1.2778068	-810.41321	13150.772
50000	198.09918	-827.14384	4.3274696	-822.81637	1511.6195	1.2776555	-812.79553	10621.161
51000	195.994	-827.09581	4.2814819	-822.81432	1511.802	1.2775013	-808.10301	15590.744
52000	203.00552	-827.24648	4.4346483	-822.81183	1511.9882	1.277344	-807.40197	16329.035
53000	201.58559	-827.21395	4.4036302	-822.81032	1512.1779	1.2771837	-811.37812	12112.601
54000	196.56099	-827.0993	4.2938678	-822.80543	1512.3711	1.2770206	-808.37464	15287.698
55000	211.39031	-827.42256	4.6178139	-822.80475	1512.5676	1.2768547	-811.06515	12435.086
56000	205.72429	-827.29639	4.4940399	-822.80235	1512.7678	1.2766857	-806.33102	17444.825
57000	193.32416	-827.01818	4.2231594	-822.79502	1512.9715	1.2765138	-809.28402	14307.604
58000	196.67316	-827.09465	4.2963182	-822.79833	1513.1787	1.276339	-803.59514	20332.628
59000	209.62899	-827.37368	4.5793379	-822.79434	1513.3893	1.2761613	-804.72003	19134.692
60000	221.55517	-827.63325	4.8398648	-822.79338	1513.6037	1.2759806	-807.64582	16033.961
61000	209.82531	-827.37446	4.5836264	-822.79083	1513.8216	1.2757969	-812.0505	11367.193
62000	207.76001	-827.32347	4.53851	-822.78496	1514.043	1.2756103	-810.96519	12507.807
63000	199.56492	-827.14286	4.3594886	-822.78337	1514.268	1.2754208	-805.01068	18804.453
64000	217.15482	-827.52565	4.7437394	-822.78191	1514.4965	1.2752285	-810.35111	13150.471
65000	219.23293	-827.5664	4.7891356	-822.77726	1514.7283	1.2750333	-806.78443	16916.129
66000	209.20057	-827.34728	4.5699789	-822.77731	1514.9635	1.2748353	-807.34375	16322.028
67000	209.02605	-827.34014	4.5661666	-822.77397	1515.2021	1.2746345	-807.45941	16193.632
68000	210.50598	-827.36695	4.5984957	-822.76846	1515.4443	1.2744309	-813.09047	10231.879
69000	211.27475	-827.38355	4.6152895	-822.76826	1515.6901	1.2742242	-807.66541	15964.626
70000	214.66756	-827.45369	4.6894052	-822.76428	1515.9392	1.2740148	-808.31632	15269.864
