Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-830.17595	6.5534894	-823.62246	1507.0168	1.2815577	-809.83345	14659.715
1000	142.31323	-826.70635	3.1088274	-823.59753	1507.0184	1.2815564	-813.27316	10976.278
2000	158.23956	-827.05634	3.4567376	-823.5996	1507.0229	1.2815525	-816.52743	7518.7082
3000	146.35249	-826.7961	3.1970649	-823.59903	1507.0302	1.2815463	-814.41172	9767.3557
4000	152.25597	-826.92762	3.3260263	-823.60159	1507.0401	1.2815379	-811.89949	12440.835
5000	150.46842	-826.88543	3.2869772	-823.59845	1507.0527	1.2815272	-816.52349	7521.5251
6000	161.97496	-827.13778	3.5383372	-823.59944	1507.0679	1.2815142	-809.67267	14805.67
7000	161.13431	-827.11686	3.5199733	-823.59689	1507.0861	1.2814988	-813.25553	10993.848
8000	176.90328	-827.46451	3.8644459	-823.60007	1507.107	1.281481	-815.19771	8932.3807
9000	172.0904	-827.35942	3.7593086	-823.60011	1507.1306	1.2814609	-805.62726	19106.295
10000	162.1101	-827.13669	3.5412895	-823.5954	1507.1571	1.2814384	-814.92553	9216.475
11000	172.38542	-827.36331	3.7657534	-823.59756	1507.1863	1.2814135	-815.28883	8832.3772
12000	178.63705	-827.49588	3.9023199	-823.59356	1507.2184	1.2813863	-811.50136	12854.042
13000	171.88348	-827.34889	3.7547885	-823.5941	1507.2531	1.2813568	-813.82496	10384.379
14000	166.99983	-827.24084	3.6481054	-823.59274	1507.2906	1.2813249	-811.36261	13000.026
15000	163.36853	-827.16018	3.5687798	-823.5914	1507.3309	1.2812906	-811.71571	12622.941
16000	166.27031	-827.22336	3.6321691	-823.59119	1507.3742	1.2812538	-809.18382	15313.484
17000	171.64808	-827.34006	3.7496463	-823.59041	1507.4205	1.2812145	-811.77336	12559.865
18000	175.00677	-827.41506	3.8230166	-823.59204	1507.4696	1.2811728	-813.41348	10818.03
19000	173.50541	-827.37937	3.7902196	-823.58915	1507.5215	1.2811286	-815.50377	8593.0449
20000	158.14867	-827.04298	3.4547521	-823.58823	1507.5764	1.281082	-815.35119	8753.9168
21000	188.40824	-827.70654	4.1157714	-823.59076	1507.634	1.2810331	-814.0475	10141.714
22000	173.41218	-827.37539	3.7881828	-823.5872	1507.6944	1.2809817	-808.67623	15845.396
23000	158.78868	-827.05127	3.4687331	-823.58253	1507.7575	1.2809282	-815.4532	8638.4092
24000	183.36364	-827.58793	4.0055721	-823.58236	1507.823	1.2808725	-816.17734	7868.3946
25000	187.79302	-827.68422	4.1023318	-823.58189	1507.891	1.2808147	-815.41694	8675.4929
26000	162.41018	-827.12511	3.5478446	-823.57727	1507.9615	1.2807549	-811.86161	12447.632
27000	166.74697	-827.21947	3.6425816	-823.57689	1508.0344	1.2806929	-816.38351	7642.4416
28000	177.60503	-827.45589	3.8797755	-823.57612	1508.1097	1.2806289	-811.86186	12444.924
29000	183.09158	-827.57137	3.9996291	-823.57174	1508.1875	1.2805629	-810.88773	13474.465
30000	183.19161	-827.57262	4.0018143	-823.5708	1508.2675	1.280495	-817.3381	6620.7688
31000	171.49483	-827.31114	3.7462984	-823.56484	1508.3499	1.280425	-817.43353	6512.7005
32000	180.30142	-827.50279	3.9386781	-823.56411	1508.4346	1.2803531	-817.37316	6575.6925
33000	171.40103	-827.30865	3.7442494	-823.5644	1508.5218	1.2802792	-815.2286	8853.3204
34000	168.63738	-827.24496	3.6838776	-823.56109	1508.6113	1.2802032	-811.68769	12609.794
35000	172.83887	-827.33271	3.775659	-823.55705	1508.7032	1.2801252	-811.71071	12580.293
36000	189.98531	-827.70829	4.1502224	-823.55806	1508.7975	1.2800452	-815.79938	8238.8662
37000	184.71434	-827.58825	4.0350783	-823.55317	1508.8941	1.2799632	-816.74546	7228.578
38000	173.67128	-827.34132	3.793843	-823.54748	1508.9931	1.2798792	-809.16409	15271.591
39000	187.66388	-827.64814	4.0995108	-823.54863	1509.0945	1.2797933	-818.77154	5071.7447
40000	171.43958	-827.28819	3.7450915	-823.5431	1509.1982	1.2797054	-816.02483	7981.4515
41000	166.36949	-827.17408	3.6343357	-823.53975	1509.304	1.2796156	-818.32021	5540.7158
42000	167.63939	-827.19453	3.6620764	-823.53245	1509.4121	1.279524	-815.99647	7999.1278
43000	178.999	-827.4471	3.9102267	-823.53687	1509.5224	1.2794305	-816.01681	7981.6385
44000	192.66291	-827.74504	4.2087145	-823.53633	1509.635	1.2793351	-817.19151	6733.7623
45000	169.99853	-827.2435	3.7136118	-823.52988	1509.7499	1.2792377	-816.57446	7381.2293
46000	178.75414	-827.43162	3.9048778	-823.52674	1509.8671	1.2791384	-817.4473	6451.1257
47000	186.45916	-827.59792	4.0731938	-823.52472	1509.9865	1.2790372	-817.9796	5883.6669
48000	174.88862	-827.33739	3.8204358	-823.51695	1510.1082	1.2789342	-813.53223	10593.471
49000	182.23843	-827.49585	3.980992	-823.51485	1510.2321	1.2788292	-815.73341	8255.1904
50000	185.2434	-827.56145	4.0466356	-823.51481	1510.3583	1.2787224	-813.00538	11148.324
51000	191.52704	-827.69383	4.1839014	-823.50993	1510.4868	1.2786136	-814.4099	9652.418
52000	176.66707	-827.36713	3.8592859	-823.50785	1510.6177	1.2785028	-819.33612	4424.581
53000	174.0824	-827.30593	3.8028239	-823.50311	1510.7509	1.2783901	-816.37695	7557.4059
54000	169.11928	-827.19251	3.6944046	-823.49811	1510.8864	1.2782754	-814.9493	9065.3358
55000	170.44911	-827.21709	3.7234547	-823.49363	1511.0244	1.2781587	-813.94012	10129.827
56000	188.36957	-827.60587	4.1149265	-823.49095	1511.1647	1.27804	-816.74439	7152.8727
57000	169.42452	-827.18942	3.7010726	-823.48835	1511.3073	1.2779195	-818.65229	5126.829
58000	177.49333	-827.35878	3.8773354	-823.48144	1511.4521	1.277797	-811.89535	12281.545
59000	175.73319	-827.3166	3.8388852	-823.47772	1511.5993	1.2776726	-811.06625	13155.181
60000	193.05275	-827.69327	4.2172304	-823.47604	1511.7487	1.2775463	-816.9914	6872.531
61000	183.65903	-827.48305	4.012025	-823.47102	1511.9005	1.277418	-812.90777	11193.991
62000	187.39948	-827.56159	4.0937351	-823.46785	1512.0547	1.2772877	-815.30086	8653.765
63000	183.76025	-827.47127	4.0142361	-823.45703	1512.2115	1.2771554	-810.59758	13624.487
64000	186.4353	-827.53277	4.0726726	-823.4601	1512.3707	1.2770209	-811.3375	12842.448
65000	174.5616	-827.26812	3.813292	-823.45483	1512.5325	1.2768843	-814.07386	9936.9578
66000	194.12741	-827.68961	4.2407064	-823.44891	1512.6966	1.2767457	-817.90966	5866.9099
67000	194.05468	-827.68635	4.2391176	-823.44723	1512.8631	1.2766053	-816.01667	7869.2282
68000	183.32988	-827.4478	4.0048347	-823.44296	1513.0319	1.2764628	-814.38481	9591.8399
69000	201.73896	-827.84724	4.4069804	-823.44026	1513.2032	1.2763183	-816.48191	7367.4856
70000	173.66454	-827.22343	3.7936957	-823.42973	1513.377	1.2761718	-813.31975	10703.198
71000	182.23182	-827.41089	3.9808476	-823.43004	1513.5531	1.2760233	-811.80231	12308.579
72000	173.79166	-827.22291	3.7964727	-823.42644	1513.7316	1.2758728	-819.63958	4008.1201
73000	183.08636	-827.42014	3.999515	-823.42062	1513.9125	1.2757203	-814.92016	8996.0534
74000	185.499	-827.46241	4.052219	-823.41019	1514.0959	1.2755658	-821.57185	1945.2849
75000	188.73604	-827.53264	4.1229321	-823.40971	1514.2818	1.2754092	-810.9674	13164.502
76000	195.75738	-827.68656	4.276313	-823.41025	1514.4702	1.2752506	-808.20264	16088.308
77000	187.26601	-827.49109	4.0908193	-823.40027	1514.6611	1.2750898	-819.28351	4354.6169
78000	188.73017	-827.51813	4.1228039	-823.39533	1514.8544	1.2749271	-814.26012	9661.7945
79000	172.34611	-827.15286	3.7648946	-823.38796	1515.0502	1.2747624	-814.45403	9447.696
80000	195.99369	-827.66751	4.2814752	-823.38603	1515.2484	1.2745956	-810.4166	13713.473
81000	187.88056	-827.48349	4.1042441	-823.37924	1515.449	1.2744269	-813.60637	10332.166
82000	182.79488	-827.36732	3.9931477	-823.37417	1515.652	1.2742562	-810.3053	13814.945
83000	172.59231	-827.13975	3.7702728	-823.36948	1515.8573	1.2740836	-813.96382	9941.2555
84000	202.36127	-827.78929	4.4205747	-823.36871	1516.065	1.2739091	-814.60591	9260.5202
85000	201.16353	-827.75479	4.3944103	-823.36038	1516.2752	1.2737325	-812.95304	10996.946
86000	173.64718	-827.14697	3.7933166	-823.35366	1516.4878	1.2735539	-808.7441	15435.061
87000	195.55437	-827.62449	4.2718784	-823.35261	1516.7029	1.2733733	-807.90309	16320.178
88000	189.93042	-827.49526	4.1490232	-823.34624	1516.9207	1.2731905	-813.15503	10763.991
89000	197.34983	-827.65479	4.3111	-823.34369	1517.1411	1.2730055	-807.35131	16888.746
90000	181.77528	-827.30685	3.9708746	-823.33598	1517.3645	1.2728181	-808.24235	15937.277
91000	192.42325	-827.5352	4.2034791	-823.33172	1517.5908	1.2726283	-812.58944	11341.021
92000	184.99319	-827.36448	4.0411696	-823.32331	1517.8196	1.2724364	-818.0336	5583.6969
93000	198.12521	-827.64961	4.3280381	-823.32157	1518.0508	1.2722427	-816.09229	7629.9063
94000	201.61728	-827.71837	4.4043223	-823.31404	1518.2842	1.272047	-817.08165	6576.7614
95000	204.68496	-827.78379	4.4713357	-823.31245	1518.5201	1.2718495	-816.03619	7677.1202
96000	196.72896	-827.60398	4.2975371	-823.30645	1518.7582	1.27165	-808.88294	15215.726
97000	180.83711	-827.25165	3.9503803	-823.30127	1518.9987	1.2714487	-815.78173	7931.2999
98000	213.00972	-827.95095	4.6531897	-823.29776	1519.2415	1.2712455	-815.15365	8588.6954
99000	181.97652	-827.26061	3.9752705	-823.28534	1519.4867	1.2710404	-818.36081	5192.5181
100000	190.54011	-827.44639	4.162342	-823.28405	1519.7342	1.2708334	-815.13019	8596.1851
101000	189.87409	-827.42313	4.1477928	-823.27534	1519.9843	1.2706243	-807.26065	16880.674
