Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-829.77698	6.5534894	-823.22349	1623.2312	1.1898053	-823.09976	122.11924
1000	153.9814	-826.5619	3.3637181	-823.19819	1623.231	1.1898054	-823.49642	-294.36308
2000	167.62892	-826.85974	3.6618478	-823.19789	1623.2306	1.1898056	-824.60626	-1390.1021
3000	163.56398	-826.77008	3.5730493	-823.19703	1623.2304	1.1898059	-822.29142	893.86812
4000	169.08037	-826.8898	3.6935548	-823.19625	1623.2303	1.1898059	-821.78976	1388.2448
5000	175.73329	-827.0354	3.8388875	-823.19652	1623.2306	1.1898056	-820.45957	2701.4516
6000	188.452	-827.31361	4.1167273	-823.19688	1623.2315	1.189805	-820.37222	2788.0183
7000	171.89315	-826.95167	3.7549998	-823.19667	1623.2332	1.1898038	-821.48045	1693.9588
8000	186.78305	-827.28017	4.080269	-823.1999	1623.2357	1.189802	-820.1289	3031.1537
9000	171.34651	-826.93818	3.7430585	-823.19512	1623.2392	1.1897994	-818.14465	4984.9433
10000	178.0661	-827.08571	3.8898476	-823.19586	1623.2436	1.1897961	-821.71485	1461.794
11000	176.50584	-827.04974	3.8557638	-823.19398	1623.2489	1.1897922	-818.96511	4173.9652
12000	166.9883	-826.83683	3.6478536	-823.18898	1623.2552	1.1897876	-823.56048	-366.6833
13000	179.47568	-827.11464	3.9206398	-823.194	1623.2625	1.1897823	-820.01395	3138.7434
14000	182.07919	-827.16892	3.9775134	-823.1914	1623.271	1.1897761	-816.51658	6588.0887
15000	185.25926	-827.23683	4.0469819	-823.18985	1623.2807	1.189769	-826.08286	-2855.3993
16000	186.37623	-827.26128	4.0713821	-823.18989	1623.2912	1.1897613	-820.14035	3009.8799
17000	167.27905	-826.83986	3.6542049	-823.18566	1623.3024	1.189753	-820.88194	2273.7364
18000	186.54906	-827.26125	4.0751575	-823.18609	1623.3145	1.1897441	-817.24417	5864.5505
19000	194.79117	-827.44079	4.2552062	-823.18558	1623.3277	1.1897345	-820.89516	2260.5792
20000	192.24209	-827.38404	4.1995216	-823.18452	1623.3418	1.1897242	-818.23538	4884.6114
21000	187.83377	-827.28365	4.1032221	-823.18043	1623.357	1.189713	-818.94712	4178.0712
22000	194.89045	-827.43564	4.257375	-823.17827	1623.3733	1.1897011	-823.19293	-14.473168
23000	184.41652	-827.20685	4.0285722	-823.17827	1623.3908	1.1896883	-814.98564	8085.5694
24000	176.40423	-827.02917	3.8535441	-823.17562	1623.4095	1.1896745	-816.07189	7010.8253
25000	190.04507	-827.32325	4.1515277	-823.17172	1623.4297	1.1896598	-819.10194	4016.5075
26000	184.71919	-827.20385	4.0351841	-823.16867	1623.4511	1.1896441	-820.33307	2798.4365
27000	198.37638	-827.50099	4.333525	-823.16747	1623.4739	1.1896274	-818.76206	4347.6162
28000	192.40459	-827.37229	4.2030714	-823.16922	1623.498	1.1896097	-818.2081	4895.9692
29000	182.83343	-827.15887	3.9939898	-823.16488	1623.5235	1.189591	-820.77606	2357.4116
30000	204.44248	-827.62897	4.4660388	-823.16293	1623.5504	1.1895713	-818.97759	4130.2342
31000	195.21447	-827.42398	4.2644532	-823.15952	1623.5786	1.1895507	-820.45288	2670.9677
32000	191.27318	-827.33713	4.1783558	-823.15877	1623.6081	1.189529	-818.93405	4168.9549
33000	195.77852	-827.43336	4.2767748	-823.15658	1623.6392	1.1895062	-816.16659	6897.5952
34000	193.49223	-827.37803	4.226831	-823.15119	1623.6716	1.1894825	-825.15114	-1973.4688
35000	196.35937	-827.43532	4.2894634	-823.14585	1623.7051	1.189458	-823.25167	-104.41075
36000	192.87902	-827.35839	4.2134353	-823.14495	1623.7395	1.1894327	-822.27833	855.11464
37000	197.30451	-827.45465	4.31011	-823.14454	1623.7752	1.1894066	-821.70406	1421.3222
38000	181.35557	-827.09979	3.9617061	-823.13808	1623.8122	1.1893796	-819.86233	3232.1098
39000	225.50718	-828.06636	4.9261963	-823.14016	1623.8504	1.1893516	-827.05362	-3861.2262
40000	208.80856	-827.69885	4.5614155	-823.13743	1623.8897	1.1893228	-818.35145	4721.9949
41000	212.73981	-827.7775	4.6472936	-823.13021	1623.93	1.1892932	-811.73441	11243.14
42000	200.84827	-827.51622	4.3875233	-823.1287	1623.9715	1.1892629	-814.83244	8184.9112
43000	192.43751	-827.32683	4.2037907	-823.12304	1624.014	1.1892317	-816.60319	6432.1827
44000	211.68444	-827.7445	4.6242392	-823.12026	1624.0578	1.1891997	-820.11715	2962.644
45000	204.25668	-827.57747	4.46198	-823.11549	1624.1028	1.1891667	-822.79722	313.9747
46000	203.09792	-827.54707	4.4366668	-823.11041	1624.1492	1.1891327	-817.71826	5319.2016
47000	205.04944	-827.59085	4.4792978	-823.11155	1624.1969	1.1890978	-817.9946	5047.5779
48000	198.2492	-827.43786	4.3307467	-823.10711	1624.2459	1.189062	-816.62026	6398.7112
49000	213.17077	-827.75915	4.6567078	-823.10244	1624.2961	1.1890252	-818.20174	4833.9688
50000	193.33984	-827.32163	4.223502	-823.09813	1624.3475	1.1889876	-815.0137	7974.084
51000	192.78111	-827.30268	4.2112964	-823.09138	1624.4001	1.1889491	-814.0109	8956.2543
