Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-834.53267	6.5534894	-827.97918	1882.7314	1.0258123	-830.25403	-1935.8658
1000	155.14959	-831.34674	3.3892373	-827.95751	1882.7309	1.0258126	-831.37573	-2908.8613
2000	151.66583	-831.27137	3.3131346	-827.95823	1882.7292	1.0258135	-834.93901	-5940.544
3000	156.45252	-831.38014	3.4176997	-827.96244	1882.7264	1.025815	-828.03862	-64.82862
4000	152.84575	-831.29479	3.3389099	-827.95588	1882.7226	1.0258171	-834.50193	-5570.6129
5000	158.43286	-831.41791	3.4609603	-827.95695	1882.7177	1.0258197	-835.52941	-6444.0996
6000	135.53497	-830.91777	2.9607566	-827.95701	1882.7119	1.0258229	-828.99749	-885.43959
7000	139.70008	-831.00679	3.0517432	-827.95504	1882.705	1.0258267	-830.19975	-1910.2375
8000	154.42587	-831.32757	3.3734276	-827.95414	1882.6971	1.025831	-836.97363	-7675.591
9000	148.27714	-831.1957	3.2391088	-827.95659	1882.6882	1.0258358	-833.05568	-4339.3425
10000	146.65113	-831.15343	3.2035886	-827.94984	1882.6783	1.0258412	-827.88347	56.47944
11000	145.89785	-831.14041	3.1871334	-827.95327	1882.6674	1.0258471	-829.34963	-1188.3189
12000	139.9757	-831.00591	3.0577643	-827.94815	1882.6556	1.0258536	-834.70305	-5748.5517
13000	147.93828	-831.18635	3.2317064	-827.95465	1882.6426	1.0258606	-830.3301	-2021.5751
14000	149.94678	-831.22578	3.2755821	-827.9502	1882.6288	1.0258682	-830.94565	-2549.2232
15000	149.57698	-831.21457	3.2675037	-827.94707	1882.614	1.0258763	-828.66946	-614.78328
16000	144.91555	-831.11059	3.165675	-827.94492	1882.5982	1.0258849	-829.52802	-1347.291
17000	141.37402	-831.03392	3.0883105	-827.94561	1882.5813	1.025894	-832.90898	-4224.0927
18000	136.27552	-830.91832	2.9769339	-827.94139	1882.5635	1.0259038	-836.6896	-7445.2684
19000	141.55013	-831.03294	3.0921576	-827.94078	1882.5447	1.025914	-833.93454	-5101.1041
20000	152.37515	-831.27001	3.3286298	-827.94138	1882.525	1.0259248	-833.69038	-4892.8471
21000	155.95941	-831.34611	3.4069278	-827.93919	1882.5043	1.025936	-827.79003	126.94953
22000	154.5698	-831.31621	3.3765719	-827.93963	1882.4829	1.0259477	-822.9588	4239.1755
23000	145.74174	-831.11764	3.1837232	-827.93392	1882.4605	1.0259599	-828.38605	-384.80943
