Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-830.33049	6.5534894	-823.777	1728.9665	1.1170424	-818.17709	5189.2599
1000	145.68511	-826.9352	3.1824861	-823.75271	1728.9671	1.1170421	-819.82751	3637.3513
2000	154.24783	-827.12473	3.3695385	-823.75519	1728.9687	1.117041	-823.55004	190.10455
3000	159.01282	-827.23036	3.4736293	-823.75673	1728.9713	1.1170393	-821.70004	1905.8648
4000	157.43713	-827.1916	3.4392085	-823.7524	1728.975	1.117037	-824.02049	-248.43528
5000	163.96857	-827.33446	3.5818875	-823.75258	1728.9796	1.117034	-820.15061	3337.8032
6000	158.92578	-827.22477	3.4717281	-823.75305	1728.9849	1.1170306	-825.46035	-1582.0841
7000	160.05691	-827.24889	3.4964375	-823.75245	1728.9907	1.1170268	-823.37625	348.60775
8000	161.68823	-827.28227	3.5320737	-823.7502	1728.9972	1.1170226	-819.59465	3850.7378
9000	167.12893	-827.40227	3.6509254	-823.75135	1729.0041	1.1170182	-826.19831	-2267.4741
10000	162.22213	-827.29313	3.5437366	-823.74939	1729.0116	1.1170133	-817.66638	5636.7816
11000	169.14286	-827.44355	3.6949198	-823.74863	1729.0195	1.1170082	-826.61212	-2653.4211
12000	167.01936	-827.3948	3.6485321	-823.74627	1729.0278	1.1170028	-823.26829	442.91742
13000	165.49269	-827.36306	3.615182	-823.74788	1729.0368	1.1169971	-820.92258	2618.0012
14000	164.72905	-827.34093	3.5985003	-823.74243	1729.0463	1.1169909	-818.64139	4726.7533
15000	168.19135	-827.4197	3.6741342	-823.74557	1729.0563	1.1169844	-816.01286	7165.274
16000	175.59023	-827.58403	3.8357624	-823.74826	1729.0671	1.1169775	-822.52282	1135.5134
17000	169.52554	-827.44459	3.7032794	-823.74132	1729.0785	1.1169701	-825.48589	-1616.5334
18000	171.306	-827.48362	3.7421734	-823.74144	1729.0905	1.1169623	-822.11442	1507.596
19000	165.27691	-827.3479	3.6104682	-823.73743	1729.1029	1.1169543	-822.34053	1294.36
20000	165.05116	-827.34353	3.6055368	-823.73799	1729.1159	1.1169459	-822.7695	897.39445
21000	176.57719	-827.59443	3.8573225	-823.73711	1729.1295	1.1169372	-827.45365	-3443.6724
22000	161.61023	-827.26326	3.5303697	-823.73289	1729.1436	1.1169281	-816.77924	6443.0619
23000	177.8881	-827.62317	3.8859593	-823.73721	1729.1581	1.1169187	-823.9154	-165.11032
24000	177.03316	-827.59845	3.8672831	-823.73117	1729.1731	1.116909	-825.27661	-1431.9424
25000	162.51865	-827.27832	3.5502142	-823.7281	1729.1886	1.116899	-821.89302	1700.2894
26000	174.28904	-827.53371	3.807338	-823.72638	1729.2048	1.1168885	-825.50852	-1651.2307
27000	162.16467	-827.26702	3.5424814	-823.72454	1729.2215	1.1168777	-825.39966	-1552.0518
28000	172.19161	-827.48218	3.7615197	-823.72066	1729.2387	1.1168666	-822.61496	1024.4535
29000	167.50127	-827.37835	3.6590593	-823.71929	1729.2563	1.1168552	-816.24725	6922.9302
30000	167.71702	-827.38313	3.6637724	-823.71936	1729.2745	1.1168435	-820.85171	2656.879
31000	170.82534	-827.44558	3.7316735	-823.71391	1729.2933	1.1168313	-817.48482	5771.203
32000	162.79297	-827.26786	3.5562066	-823.71165	1729.3127	1.1168188	-822.34247	1268.5234
33000	161.44554	-827.23265	3.5267722	-823.70587	1729.3325	1.116806	-825.57569	-1732.3336
34000	170.29235	-827.42863	3.7200304	-823.7086	1729.3528	1.1167929	-818.36419	4951.3798
35000	152.39221	-827.03099	3.3290025	-823.70199	1729.3737	1.1167795	-822.64428	979.9148
36000	156.24836	-827.11103	3.4132398	-823.69779	1729.395	1.1167657	-826.57192	-2662.7083
37000	171.79652	-827.4518	3.7528889	-823.69891	1729.4169	1.1167515	-821.25591	2263.256
38000	163.98883	-827.27626	3.5823301	-823.69393	1729.4393	1.1167371	-826.84476	-2918.9667
39000	155.64135	-827.09106	3.3999797	-823.69108	1729.4621	1.1167223	-820.64964	2817.5893
40000	175.89236	-827.53107	3.8423624	-823.68871	1729.4854	1.1167073	-827.0223	-3088.2042
41000	185.854	-827.74773	4.059974	-823.68775	1729.509	1.116692	-823.27622	381.23634
42000	163.04159	-827.24234	3.5616377	-823.6807	1729.5331	1.1166765	-813.71305	9233.6702
43000	170.46065	-827.40165	3.7237069	-823.67794	1729.5577	1.1166606	-817.54999	5676.6309
44000	175.77165	-827.51592	3.8397255	-823.67619	1729.5829	1.1166443	-821.97393	1576.8699
45000	161.24245	-827.18952	3.5223356	-823.66718	1729.6088	1.1166276	-824.26431	-553.13095
46000	173.27496	-827.44965	3.7851852	-823.66447	1729.6352	1.1166106	-823.36458	277.78707
47000	175.41022	-827.49347	3.83183	-823.66164	1729.6619	1.1165934	-819.03676	4283.995
48000	168.99492	-827.35027	3.691688	-823.65859	1729.689	1.1165759	-826.5632	-2690.4873
49000	179.30433	-827.57334	3.9168968	-823.65644	1729.7165	1.1165581	-821.26724	2213.0327
50000	164.93051	-827.25272	3.6029011	-823.64982	1729.7442	1.1165402	-823.81694	-154.7923
51000	164.22749	-827.23533	3.5875437	-823.64778	1729.7724	1.116522	-825.95469	-2136.7422
52000	174.42965	-827.45131	3.8104095	-823.64091	1729.801	1.1165036	-820.71414	2710.8308
53000	165.32448	-827.24935	3.6115074	-823.63784	1729.83	1.1164849	-820.67092	2747.978
54000	175.25044	-827.46155	3.8283396	-823.63321	1729.8593	1.1164659	-827.79852	-3857.8695
55000	170.82228	-827.36101	3.7316066	-823.6294	1729.889	1.1164467	-820.97876	2454.9463
56000	180.694	-827.57512	3.9472539	-823.62787	1729.9192	1.1164273	-817.51095	5665.2272
57000	183.35093	-827.62548	4.0052946	-823.62019	1729.9496	1.1164076	-816.8986	6225.1368
58000	184.84055	-827.65292	4.0378352	-823.61509	1729.9805	1.1163877	-823.42509	175.9581
59000	167.01275	-827.25378	3.6483875	-823.60539	1730.0118	1.1163675	-827.99227	-4062.7193
60000	175.93968	-827.44806	3.8433961	-823.60467	1730.0436	1.116347	-825.65048	-1894.6077
61000	178.49454	-827.50209	3.8992069	-823.60288	1730.0757	1.1163263	-816.55533	6526.5499
62000	179.1422	-827.51062	3.9133549	-823.59727	1730.1084	1.1163052	-819.40607	3881.2809
63000	183.25661	-827.59528	4.0032342	-823.59205	1730.1416	1.1162838	-819.11061	4149.9813
64000	193.26691	-827.81	4.2219089	-823.58809	1730.1752	1.1162621	-818.42246	4783.4769
65000	170.00988	-827.29238	3.7138597	-823.57852	1730.2092	1.1162401	-826.53842	-2740.8656
66000	169.07809	-827.26855	3.6935048	-823.57505	1730.2435	1.116218	-825.75432	-2017.9715
67000	176.49454	-827.42726	3.8555169	-823.57175	1730.2782	1.1161956	-822.09203	1370.1645
68000	176.44444	-827.41802	3.8544225	-823.5636	1730.3132	1.1161731	-820.38654	2941.7881
69000	182.63179	-827.55018	3.989585	-823.5606	1730.3485	1.1161503	-823.934	-345.74596
70000	191.36189	-827.73474	4.1802938	-823.55445	1730.3844	1.1161272	-821.62004	1791.0829
71000	174.79971	-827.36565	3.8184934	-823.54715	1730.4207	1.1161037	-819.64584	3612.1859
72000	168.67938	-827.22385	3.684795	-823.53905	1730.4576	1.1160799	-822.04714	1381.3169
73000	181.68053	-827.50834	3.9688047	-823.53953	1730.4949	1.1160559	-820.63806	2686.3257
74000	181.40254	-827.49238	3.9627321	-823.52965	1730.5327	1.1160315	-820.67532	2642.6175
75000	173.74542	-827.32059	3.7954624	-823.52513	1730.571	1.1160068	-819.21415	3991.1327
76000	189.62889	-827.6622	4.1424363	-823.51976	1730.6097	1.1159818	-822.44699	993.15775
